,Price,Original_Price,Off(%),Rating,Reviews,Free_shipping,Best_seller,Expensive
44,8.0,8.0,0.0,,,Yes,No,U10
45,8.5,8.5,0.0,4.9,658.0,No,No,U10
46,8.0,8.0,0.0,5.0,635.0,No,No,U10
47,7.16,7.16,0.0,4.7674,3064.0,No,No,U10
48,1.0,1.0,0.0,4.881,3745.0,No,No,U10
49,3.5,3.5,0.0,5.0,774.0,No,No,U10
50,3.59,7.18,50.0,5.0,476.0,No,No,U10
51,2.85,2.85,0.0,4.9434,618.0,No,No,U10
52,8.99,9.99,10.0,4.9815,1424.0,No,No,U10
53,1.75,1.75,0.0,4.9565,1177.0,Yes,No,U10
54,6.5,6.5,0.0,5.0,471.0,No,No,U10
55,10.0,10.0,0.0,4.88,2188.0,Yes,No,U10
56,0.76,0.95,20.0,4.9184,4450.0,No,No,U10
57,5.59,7.99,30.0,4.8833,1722.0,No,No,U10
58,3.95,13.16,70.0,4.9146,2267.0,No,No,U10
59,4.15,4.15,0.0,4.9444,756.0,No,No,U10
60,4.16,4.16,0.0,4.7547,780.0,No,No,U10
61,2.3,2.3,0.0,4.9248,403.0,No,No,U10
62,5.0,5.0,0.0,4.8519,480.0,Yes,No,U10
63,0.7,1.0,30.0,4.9574,13988.0,Yes,No,U10
64,7.5,7.5,0.0,4.9357,4748.0,No,No,U10
65,2.15,2.15,0.0,4.5,440.0,No,No,U10
66,1.3,1.3,0.0,5.0,4097.0,Yes,No,U10
67,3.0,5.0,40.0,4.9366,5008.0,No,No,U10
68,5.4,9.0,40.0,4.9582,7211.0,No,No,U10
69,4.5,4.5,0.0,4.7083,1248.0,No,No,U10
70,6.2,6.2,0.0,4.8311,1420.0,No,No,U10
71,7.18,7.18,0.0,4.9251,7202.0,No,No,U10
72,3.2,3.2,0.0,4.9796,18904.0,No,No,U10
73,9.99,9.99,0.0,4.9279,4173.0,No,No,U10
74,8.49,9.99,15.0,4.8951,3752.0,No,No,U10
75,7.82,11.17,30.0,4.8925,4588.0,No,No,U10
76,7.0,7.0,0.0,4.5542,572.0,Yes,No,U10
77,4.31,4.31,0.0,4.8386,2855.0,No,No,U10
78,1.44,1.44,0.0,4.9649,204.0,No,No,U10
79,2.15,2.15,0.0,4.45,288.0,No,No,U10
80,5.0,5.0,0.0,4.8421,1453.0,Yes,No,U10
81,1.0,1.0,0.0,4.9804,4171.0,Yes,No,U10
82,5.95,5.95,0.0,4.9759,727.0,Yes,No,U10
83,5.02,5.02,0.0,4.8913,348.0,No,No,U10
84,2.0,2.0,0.0,4.9659,1293.0,No,No,U10
85,3.85,3.85,0.0,4.9792,922.0,No,Yes,U10
86,5.0,10.0,50.0,4.7822,3003.0,No,No,U10
87,5.0,5.0,0.0,4.9518,1945.0,Yes,No,U10
88,7.16,7.16,0.0,4.7674,3064.0,No,No,U10
89,2.75,2.75,0.0,4.9524,649.0,Yes,No,U10
90,7.16,7.16,0.0,4.9,5528.0,No,No,U10
91,6.0,6.0,0.0,4.9291,3043.0,No,No,U10
92,6.0,10.0,40.0,4.8556,7342.0,No,No,U10
93,6.95,6.95,0.0,4.8654,1546.0,No,No,U10
94,3.59,3.59,0.0,4.7059,232.0,No,No,U10
95,5.3,5.3,0.0,4.9524,608.0,Yes,No,U10
96,10.0,10.0,0.0,4.9247,996.0,Yes,No,U10
97,3.75,3.75,0.0,4.9787,1128.0,No,No,U10
98,1.75,1.75,0.0,4.9565,1177.0,Yes,No,U10
99,0.89,0.99,10.0,4.9184,4450.0,No,No,U10
100,5.0,5.0,0.0,4.9851,1024.0,Yes,No,U10
101,4.32,14.4,70.0,4.9146,2267.0,No,No,U10
102,2.44,2.44,0.0,4.7547,780.0,No,No,U10
103,4.15,4.15,0.0,4.9444,756.0,No,No,U10
104,5.25,5.25,0.0,4.8519,480.0,Yes,No,U10
105,5.6,8.0,30.0,4.8833,1722.0,No,No,U10
106,0.7,1.0,30.0,4.9574,13988.0,Yes,No,U10
107,7.5,7.5,0.0,4.9357,4748.0,No,No,U10
108,1.3,1.3,0.0,5.0,4097.0,Yes,No,U10
109,7.2,12.0,40.0,4.9582,7211.0,No,No,U10
110,4.9,4.9,0.0,4.9796,18904.0,No,No,U10
111,3.0,5.0,40.0,4.9366,5008.0,No,No,U10
112,7.18,7.18,0.0,4.9251,7202.0,No,No,U10
113,6.95,6.95,0.0,4.8654,1546.0,No,No,U10
114,2.15,2.15,0.0,4.45,288.0,No,No,U10
115,9.59,15.99,40.0,4.8958,1198.0,No,No,U10
116,5.02,5.02,0.0,4.8913,348.0,No,No,U10
117,0.5,0.5,0.0,4.5946,308.0,Yes,No,U10
118,8.5,8.5,0.0,4.9811,1670.0,Yes,No,U10
119,7.2,8.0,10.0,4.6364,540.0,No,No,U10
120,8.5,10.0,15.0,4.6073,1599.0,Yes,No,U10
121,2.15,2.15,0.0,4.9,259.0,Yes,No,U10
122,6.95,6.95,0.0,5.0,86.0,Yes,No,U10
123,5.25,5.25,0.0,,,No,No,U10
124,10.0,10.0,0.0,,,Yes,No,U10
125,5.95,5.95,0.0,4.9759,727.0,Yes,No,U10
126,0.95,0.95,0.0,,,No,No,U10
127,6.5,6.5,0.0,5.0,24.0,No,No,U10
128,2.87,2.87,0.0,4.8611,2181.0,No,No,U10
129,4.47,8.95,50.0,4.8889,1413.0,Yes,No,U10
130,0.5,0.5,0.0,4.9052,2571.0,Yes,No,U10
131,1.5,1.5,0.0,5.0,575.0,Yes,No,U10
132,7.0,7.0,0.0,4.5542,572.0,Yes,No,U10
133,9.99,9.99,0.0,4.9279,4173.0,No,No,U10
134,3.3,5.5,40.0,4.9434,1669.0,Yes,No,U10
135,1.75,1.75,0.0,4.9565,1177.0,Yes,No,U10
136,6.0,6.0,0.0,5.0,1422.0,No,No,U10
137,1.2,1.6,25.0,4.9789,1143.0,No,No,U10
138,9.99,9.99,0.0,4.8955,2081.0,No,No,U10
139,5.0,5.0,0.0,4.4189,638.0,No,No,U10
140,5.5,5.5,0.0,5.0,676.0,No,No,U10
141,1.3,1.3,0.0,4.8375,3568.0,No,No,U10
142,10.0,10.0,0.0,4.9898,11190.0,Yes,No,U10
143,10.0,10.0,0.0,4.965,5485.0,Yes,No,U10
144,10.0,10.0,0.0,4.9722,387.0,Yes,No,U10
145,3.95,13.16,70.0,4.9146,2267.0,No,No,U10
146,2.44,2.44,0.0,4.7547,780.0,No,No,U10
147,4.75,4.75,0.0,4.8519,480.0,Yes,No,U10
148,0.89,0.99,10.0,4.9184,4450.0,No,No,U10
149,5.59,7.99,30.0,4.8833,1722.0,No,No,U10
150,0.7,1.0,30.0,4.9574,13988.0,Yes,No,U10
151,5.4,9.0,40.0,4.9366,5008.0,No,No,U10
152,1.3,1.3,0.0,5.0,4097.0,Yes,No,U10
153,2.99,4.99,40.0,4.9582,7211.0,No,No,U10
154,6.95,6.95,0.0,4.8654,1546.0,No,No,U10
155,2.15,2.15,0.0,4.9,259.0,Yes,No,U10
156,7.5,7.5,0.0,4.9357,4748.0,No,No,U10
157,2.17,2.17,0.0,4.9553,1961.0,Yes,Yes,U10
158,4.67,4.67,0.0,4.9545,571.0,No,No,U10
159,1.5,1.5,0.0,5.0,575.0,Yes,No,U10
160,9.0,9.0,0.0,4.8,1221.0,No,No,U10
161,4.0,4.0,0.0,4.982,17860.0,No,No,U10
162,5.73,5.73,0.0,4.9793,342.0,No,No,U10
163,6.5,6.5,0.0,4.9505,10885.0,No,No,U10
164,10.0,10.0,0.0,4.9527,1256.0,Yes,No,U10
165,10.0,10.0,0.0,4.9339,726.0,Yes,No,U10
166,8.0,8.0,0.0,4.9167,552.0,No,No,U10
167,7.19,7.99,10.0,4.9815,1424.0,No,No,U10
168,9.99,9.99,0.0,4.9279,4173.0,No,No,U10
169,2.25,2.25,0.0,5.0,573.0,Yes,No,U10
170,9.1,9.1,0.0,4.9512,1307.0,No,No,U10
171,5.0,5.0,0.0,4.9518,1945.0,Yes,No,U10
172,1.44,1.44,0.0,4.9649,204.0,No,No,U10
173,4.31,4.31,0.0,5.0,87.0,No,No,U10
174,2.75,2.75,0.0,5.0,431.0,No,No,U10
175,4.0,4.0,0.0,4.8889,223.0,No,No,U10
176,5.02,5.02,0.0,4.5704,1115.0,No,No,U10
177,5.0,5.0,0.0,4.0,186.0,No,No,U10
178,5.0,5.0,0.0,4.9773,1380.0,Yes,No,U10
179,7.0,7.0,0.0,5.0,488.0,Yes,No,U10
180,3.73,3.73,0.0,4.9921,755.0,No,No,U10
181,1.75,1.75,0.0,4.9565,1177.0,Yes,No,U10
182,10.0,10.0,0.0,4.88,2188.0,Yes,Yes,U10
183,9.77,11.5,15.0,4.8791,465.0,No,No,U10
184,1.99,3.99,50.0,5.0,476.0,No,No,U10
185,2.5,2.5,0.0,4.1429,487.0,Yes,No,U10
186,5.02,5.02,0.0,4.8913,348.0,No,No,U10
187,3.38,4.83,30.0,4.8286,264.0,No,No,U10
188,9.5,9.5,0.0,4.9485,1651.0,Yes,No,U10
189,5.8,5.8,0.0,4.8,439.0,No,No,U10
190,4.16,4.16,0.0,4.7547,780.0,No,No,U10
191,5.0,5.0,0.0,4.8519,480.0,Yes,No,U10
192,0.7,1.0,30.0,4.9574,13988.0,Yes,No,U10
193,3.95,13.16,70.0,4.9146,2267.0,No,No,U10
194,5.6,8.0,30.0,4.8833,1722.0,No,No,U10
195,0.5,0.5,0.0,4.9184,4450.0,Yes,No,U10
196,3.0,5.0,40.0,4.9366,5008.0,No,No,U10
197,1.3,1.3,0.0,5.0,4097.0,Yes,No,U10
198,6.95,6.95,0.0,4.8654,1546.0,No,No,U10
199,5.4,9.0,40.0,4.9582,7211.0,No,No,U10
200,4.0,4.0,0.0,4.982,17860.0,No,No,U10
201,6.5,6.5,0.0,4.9505,10885.0,No,No,U10
202,6.0,6.0,0.0,4.8,1221.0,No,No,U10
203,5.0,5.0,0.0,4.9518,1945.0,Yes,No,U10
204,1.75,1.75,0.0,4.9565,1177.0,Yes,No,U10
205,5.0,5.0,0.0,4.0,186.0,No,No,U10
206,4.49,5.99,25.0,4.0714,187.0,Yes,No,U10
207,5.75,5.75,0.0,4.7778,468.0,No,No,U10
208,7.19,7.99,10.0,4.9815,1424.0,No,No,U10
209,6.0,6.0,0.0,4.7797,245.0,No,No,U10
210,9.99,9.99,0.0,4.9279,4173.0,No,No,U10
211,5.25,5.25,0.0,5.0,50.0,No,No,U10
212,10.0,10.0,0.0,5.0,4057.0,Yes,No,U10
213,10.0,10.0,0.0,5.0,1971.0,Yes,No,U10
214,6.75,9.0,25.0,4.9282,1695.0,Yes,No,U10
215,3.5,3.5,0.0,4.95,2133.0,No,No,U10
216,7.18,7.18,0.0,4.9251,7202.0,No,No,U10
217,10.0,10.0,0.0,4.9538,456.0,Yes,No,U10
218,1.44,1.44,0.0,4.9722,78.0,No,No,U10
219,4.13,4.13,0.0,4.5,66.0,Yes,No,U10
220,6.0,10.0,40.0,4.8556,7342.0,No,No,U10
221,9.5,9.5,0.0,4.9485,1651.0,Yes,No,U10
222,8.09,8.09,0.0,4.9414,3122.0,No,No,U10
223,1.44,1.44,0.0,4.9192,4825.0,No,No,U10
224,1.44,1.44,0.0,4.9649,204.0,No,No,U10
225,2.5,2.5,0.0,4.1429,487.0,Yes,No,U10
226,7.48,7.48,0.0,4.9783,466.0,No,No,U10
227,4.47,8.95,50.0,4.8889,1413.0,Yes,No,U10
228,1.5,1.5,0.0,5.0,575.0,Yes,No,U10
229,4.3,8.6,50.0,4.8758,5789.0,No,No,U10
230,4.25,4.25,0.0,5.0,457.0,No,No,U10
231,5.0,5.0,0.0,5.0,551.0,No,No,U10
232,6.7,6.7,0.0,4.9512,1307.0,No,No,U10
233,5.58,9.3,40.0,4.9249,6574.0,No,No,U10
234,1.44,1.44,0.0,4.8633,2414.0,No,No,U10
235,1.94,1.94,0.0,4.7547,780.0,No,No,U10
236,6.25,6.25,0.0,4.8519,480.0,Yes,No,U10
237,0.89,0.99,10.0,4.9184,4450.0,No,No,U10
238,5.6,8.0,30.0,4.8833,1722.0,No,No,U10
239,0.7,1.0,30.0,4.9574,13988.0,Yes,No,U10
240,1.3,1.3,0.0,5.0,4097.0,Yes,No,U10
241,5.4,9.0,40.0,4.9582,7211.0,No,No,U10
242,6.95,6.95,0.0,4.8654,1546.0,No,No,U10
243,6.5,6.5,0.0,4.9505,10885.0,No,No,U10
244,4.0,4.0,0.0,4.982,17860.0,No,No,U10
245,8.09,8.09,0.0,4.9414,3122.0,No,No,U10
246,5.5,5.5,0.0,4.931,335.0,Yes,No,U10
247,3.0,3.0,0.0,5.0,81.0,Yes,No,U10
248,4.9,4.9,0.0,4.9796,18904.0,No,No,U10
249,6.5,6.5,0.0,5.0,471.0,No,No,U10
250,2.15,2.15,0.0,4.5,440.0,No,No,U10
251,2.0,2.0,0.0,4.7647,675.0,Yes,No,U10
252,2.5,2.5,0.0,5.0,575.0,Yes,No,U10
253,9.5,9.5,0.0,4.9485,1651.0,Yes,No,U10
254,1.0,1.0,0.0,4.9688,189.0,No,No,U10
255,5.02,5.02,0.0,4.9723,1944.0,No,No,U10
256,2.0,2.0,0.0,4.9659,1293.0,No,No,U10
257,4.0,4.0,0.0,4.7778,468.0,No,No,U10
258,7.5,7.5,0.0,5.0,85.0,Yes,No,U10
259,5.02,5.02,0.0,4.8913,348.0,No,No,U10
260,8.19,8.19,0.0,4.5946,308.0,No,No,U10
261,7.82,11.17,30.0,4.8925,4588.0,No,No,U10
262,3.0,5.0,40.0,4.9366,5008.0,No,No,U10
263,3.6,6.0,40.0,4.9434,1669.0,Yes,No,U10
264,3.0,3.0,0.0,4.8421,1453.0,Yes,No,U10
265,4.52,4.52,0.0,4.8839999999999995,1406.0,Yes,No,U10
266,0.7,0.7,0.0,4.861000000000001,2075.0,No,No,U10
267,10.0,10.0,0.0,4.9787,1036.0,Yes,No,U10
268,8.5,8.5,0.0,4.9811,1670.0,Yes,No,U10
269,7.16,7.16,0.0,4.7674,3064.0,No,No,U10
270,8.6,8.6,0.0,4.9,5528.0,No,No,U10
271,5.0,5.0,0.0,4.9241,897.0,Yes,No,U10
272,7.18,7.18,0.0,4.9251,7202.0,No,No,U10
273,8.0,8.0,0.0,5.0,139.0,Yes,No,U10
274,2.5,2.5,0.0,,,No,No,U10
275,9.6,12.0,20.0,5.0,208.0,No,No,U10
276,2.25,2.25,0.0,5.0,1690.0,Yes,No,U10
277,7.0,7.0,0.0,4.996,1215.0,No,No,U10
278,2.58,2.58,0.0,5.0,85.0,No,No,U10
279,3.16,3.16,0.0,2.6,55.0,No,No,U10
280,5.25,5.25,0.0,4.8519,480.0,Yes,No,U10
281,2.44,2.44,0.0,4.7547,780.0,No,No,U10
282,5.59,7.99,30.0,4.8833,1722.0,No,No,U10
283,0.76,0.95,20.0,4.9184,4450.0,No,No,U10
284,4.0,4.0,0.0,4.982,17860.0,No,No,U10
285,0.7,1.0,30.0,4.9574,13988.0,Yes,No,U10
286,6.95,6.95,0.0,4.8654,1546.0,No,No,U10
287,6.5,6.5,0.0,4.9505,10885.0,No,No,U10
288,5.0,5.0,0.0,4.9075,1108.0,No,No,U10
289,4.9,4.9,0.0,4.9796,18904.0,No,No,U10
290,2.5,2.5,0.0,4.9518,1945.0,Yes,No,U10
291,4.0,4.0,0.0,4.9639999999999995,51367.0,No,No,U10
292,4.3,8.6,50.0,4.8758,5789.0,No,No,U10
293,1.3,1.3,0.0,5.0,4097.0,Yes,No,U10
294,5.56,7.95,30.0,4.7745,2232.0,No,No,U10
295,3.0,6.0,50.0,4.7778,68.0,No,No,U10
296,7.16,7.16,0.0,4.9,5528.0,No,No,U10
297,10.0,10.0,0.0,5.0,4057.0,Yes,No,U10
298,4.1,4.1,0.0,4.9333,920.0,Yes,No,U10
299,6.5,6.5,0.0,5.0,471.0,No,No,U10
300,5.0,5.0,0.0,4.9241,897.0,Yes,No,U10
301,8.3,8.3,0.0,5.0,269.0,Yes,No,U10
302,3.0,3.0,0.0,4.9557,5017.0,No,No,U10
303,9.09,12.99,30.0,4.9451,2013.0,No,No,U10
304,8.5,8.5,0.0,4.98,614.0,No,No,U10
305,9.16,13.09,30.0,4.8314,2343.0,No,No,U10
306,1.5,1.5,0.0,5.0,69.0,No,No,U10
307,5.75,5.75,0.0,5.0,24.0,No,No,U10
308,4.0,4.0,0.0,4.9659,1293.0,Yes,No,U10
309,4.39,4.39,0.0,5.0,138.0,No,No,U10
310,7.19,7.99,10.0,4.9815,1424.0,No,No,U10
311,2.0,2.0,0.0,4.6923,48.0,No,No,U10
312,7.0,7.0,0.0,4.8337,836.0,Yes,No,U10
313,5.98,11.97,50.0,4.9355,870.0,No,No,U10
314,6.0,6.0,0.0,,,No,No,U10
315,1.42,1.42,0.0,4.861000000000001,2075.0,No,No,U10
316,7.19,7.19,0.0,4.5946,308.0,No,No,U10
317,7.98,7.98,0.0,5.0,128.0,No,No,U10
318,8.99,14.99,40.0,4.8914,4654.0,No,No,U10
319,7.22,8.02,10.0,4.7905,1813.0,No,No,U10
320,3.59,3.59,0.0,4.8585,604.0,Yes,No,U10
321,2.75,2.75,0.0,4.9524,649.0,Yes,No,U10
322,5.0,5.0,0.0,5.0,1959.0,Yes,No,U10
323,8.09,8.09,0.0,4.9414,3122.0,No,No,U10
324,5.02,5.02,0.0,4.7547,780.0,No,No,U10
325,3.5,3.5,0.0,4.9895,2710.0,Yes,No,U10
326,5.59,7.99,30.0,4.8833,1722.0,No,No,U10
327,0.89,0.99,10.0,4.9184,4450.0,No,No,U10
328,0.7,1.0,30.0,4.9574,13988.0,Yes,No,U10
329,5.0,5.0,0.0,4.8519,480.0,Yes,No,U10
330,4.0,4.0,0.0,4.982,17860.0,No,No,U10
331,6.5,6.5,0.0,4.9505,10885.0,No,No,U10
332,6.95,6.95,0.0,4.8654,1546.0,No,No,U10
333,10.0,10.0,0.0,5.0,4057.0,Yes,No,U10
334,5.98,11.97,50.0,4.9355,870.0,No,No,U10
335,4.95,4.95,0.0,4.9313,16377.0,No,No,U10
336,1.3,1.3,0.0,5.0,4097.0,Yes,No,U10
337,7.64,8.99,15.0,4.8951,3752.0,No,No,U10
338,10.0,10.0,0.0,4.6744,1067.0,Yes,No,U10
339,1.44,1.44,0.0,4.8633,2414.0,No,No,U10
340,5.56,7.95,30.0,4.7745,2232.0,No,No,U10
341,4.5,4.5,0.0,4.7321,295.0,Yes,No,U10
342,3.3,3.3,0.0,4.5,66.0,Yes,No,U10
343,8.99,8.99,0.0,5.0,202.0,No,No,U10
344,5.0,5.0,0.0,5.0,79.0,No,No,U10
345,7.75,7.75,0.0,,,Yes,No,U10
346,4.5,4.5,0.0,4.9796,18904.0,No,No,U10
347,1.75,1.75,0.0,4.9565,1177.0,Yes,No,U10
348,2.5,2.5,0.0,4.1429,487.0,Yes,No,U10
349,5.5,5.5,0.0,4.7059,241.0,No,No,U10
350,10.0,10.0,0.0,4.961,1333.0,Yes,No,U10
351,6.5,6.5,0.0,4.8,1221.0,No,No,U10
352,5.99,5.99,0.0,5.0,432.0,Yes,No,U10
353,7.94,11.34,30.0,4.9233,6307.0,No,No,U10
354,2.5,2.5,0.0,5.0,86.0,Yes,No,U10
355,9.79,13.99,30.0,4.9451,2013.0,No,No,U10
356,7.0,7.0,0.0,4.8333,357.0,Yes,No,U10
357,4.47,8.95,50.0,4.8889,1413.0,Yes,No,U10
358,2.52,2.52,0.0,4.8235,2455.0,No,No,U10
359,4.3,8.6,50.0,4.8758,5789.0,No,No,U10
360,8.49,9.99,15.0,4.8841,2988.0,No,No,U10
361,10.0,10.0,0.0,4.9286,1101.0,Yes,No,U10
362,5.0,5.0,0.0,4.5542,572.0,Yes,No,U10
363,8.45,8.45,0.0,4.9449,5651.0,No,Yes,U10
364,2.0,2.0,0.0,,,No,No,U10
365,2.87,2.87,0.0,4.8839999999999995,1406.0,Yes,No,U10
366,7.5,7.5,0.0,4.9357,4748.0,No,No,U10
367,7.0,10.0,30.0,4.9505,4588.0,No,No,U10
368,5.0,5.0,0.0,4.9524,608.0,Yes,No,U10
369,5.02,5.02,0.0,4.7547,780.0,No,No,U10
370,4.09,4.09,0.0,4.5,35.0,No,No,U10
371,0.89,0.99,10.0,4.9184,4450.0,No,No,U10
372,5.6,8.0,30.0,4.8833,1722.0,No,No,U10
373,6.5,6.5,0.0,4.9505,10885.0,No,No,U10
374,5.0,5.0,0.0,4.8519,480.0,Yes,No,U10
375,9.79,13.99,30.0,4.9451,2013.0,No,No,U10
376,4.13,4.13,0.0,4.5,66.0,Yes,No,U10
377,7.0,7.0,0.0,4.5542,572.0,Yes,No,U10
378,7.64,8.99,15.0,4.8951,3752.0,No,No,U10
379,0.7,1.0,30.0,4.9574,13988.0,Yes,No,U10
380,4.9,4.9,0.0,4.9796,18904.0,No,No,U10
381,10.0,10.0,0.0,4.9538,456.0,Yes,No,U10
382,10.0,10.0,0.0,5.0,4057.0,Yes,No,U10
383,3.16,3.16,0.0,4.9247,2489.0,No,No,U10
384,5.5,5.5,0.0,5.0,195.0,No,No,U10
385,3.35,3.35,0.0,5.0,143.0,No,No,U10
386,10.0,10.0,0.0,4.9787,1036.0,Yes,No,U10
387,7.83,8.7,10.0,4.975,390.0,No,No,U10
388,8.09,8.09,0.0,4.9414,3122.0,No,No,U10
389,3.0,6.0,50.0,4.7778,68.0,No,No,U10
390,10.0,10.0,0.0,4.8072,3304.0,No,No,U10
391,5.67,5.67,0.0,4.9875,467.0,No,No,U10
392,0.7,0.7,0.0,4.9616,1444.0,No,No,U10
393,6.5,6.5,0.0,4.7059,241.0,No,No,U10
394,6.9,6.9,0.0,4.9524,608.0,Yes,No,U10
395,3.5,3.5,0.0,5.0,66.0,No,No,U10
396,4.31,4.31,0.0,5.0,533.0,No,No,U10
397,5.0,5.0,0.0,5.0,316.0,No,No,U10
398,7.5,7.5,0.0,4.9357,4748.0,No,No,U10
399,5.0,5.0,0.0,5.0,6.0,Yes,No,U10
400,1.44,1.44,0.0,4.9192,4825.0,No,No,U10
401,7.54,7.54,0.0,5.0,11.0,No,No,U10
402,3.59,7.18,50.0,5.0,476.0,No,No,U10
403,1.5,2.0,25.0,4.9789,1143.0,No,No,U10
404,1.44,2.4,40.0,4.9798,349.0,No,No,U10
405,2.0,2.0,0.0,,,No,No,U10
406,2.15,2.15,0.0,4.5,440.0,No,No,U10
407,6.5,6.5,0.0,5.0,695.0,No,No,U10
408,0.49,0.49,0.0,5.0,98.0,No,No,U10
409,2.0,2.0,0.0,5.0,16.0,No,No,U10
410,9.9,9.9,0.0,5.0,504.0,Yes,No,U10
411,2.25,2.25,0.0,4.9659,1293.0,No,No,U10
412,9.99,9.99,0.0,4.566,844.0,No,No,U10
413,5.0,5.0,0.0,5.0,432.0,Yes,No,U10
414,1.87,1.87,0.0,4.7547,780.0,No,No,U10
415,4.5,4.5,0.0,4.7778,468.0,No,No,U10
416,0.89,0.99,10.0,4.9184,4450.0,No,No,U10
417,5.59,7.99,30.0,4.8833,1722.0,No,No,U10
418,3.75,3.75,0.0,4.8519,480.0,Yes,No,U10
419,6.5,6.5,0.0,4.9505,10885.0,No,No,U10
420,0.7,1.0,30.0,4.9574,13988.0,Yes,No,U10
421,8.09,8.09,0.0,4.9414,3122.0,No,Yes,U10
422,10.0,10.0,0.0,4.9787,1036.0,Yes,No,U10
423,3.6,6.0,40.0,4.9434,1669.0,Yes,No,U10
424,7.19,7.99,10.0,4.9815,1424.0,No,No,U10
425,7.64,8.99,15.0,4.8951,3752.0,No,No,U10
426,4.47,8.95,50.0,4.8889,1413.0,Yes,No,U10
427,7.0,7.0,0.0,4.8333,357.0,Yes,No,U10
428,5.4,9.0,40.0,4.9366,5008.0,No,No,U10
429,2.17,2.17,0.0,4.9553,1961.0,Yes,No,U10
430,1.86,1.86,0.0,,,No,No,U10
431,2.86,2.86,0.0,5.0,85.0,No,No,U10
432,5.0,5.0,0.0,4.9719999999999995,3655.0,No,No,U10
433,1.44,1.44,0.0,4.861000000000001,2075.0,No,No,U10
434,3.5,3.5,0.0,5.0,163.0,Yes,No,U10
435,5.0,5.0,0.0,5.0,214.0,No,No,U10
436,5.0,5.0,0.0,4.9773,1380.0,Yes,No,U10
437,7.16,7.16,0.0,4.9,5528.0,No,No,U10
438,4.47,6.38,30.0,4.8925,4588.0,No,No,U10
439,9.99,9.99,0.0,4.8957,8328.0,Yes,No,U10
440,5.1,5.1,0.0,5.0,1156.0,Yes,No,U10
441,1.3,1.3,0.0,,,No,No,U10
442,6.96,9.94,30.0,4.9178,583.0,No,No,U10
443,5.99,5.99,0.0,2.7143,134.0,No,No,U10
444,8.0,8.0,0.0,5.0,635.0,No,No,U10
445,2.87,2.87,0.0,5.0,28.0,No,No,U10
446,4.0,4.0,0.0,5.0,99.0,Yes,No,U10
447,1.3,1.3,0.0,5.0,4097.0,Yes,No,U10
448,5.02,5.02,0.0,4.9723,1944.0,No,No,U10
