,Price,Original_Price,Off(%),Rating,Reviews,Free_shipping,Best_seller,Type
82,20.0,20.0,0.0,,,Yes,No,Handmade
83,4.5,4.5,0.0,4.7083,1248.0,No,No,Handmade
84,13.99,13.99,0.0,4.9787,2624.0,Yes,No,Handmade
85,7.5,15.0,50.0,4.7822,3003.0,No,No,Handmade
86,9.5,9.5,0.0,4.9485,1651.0,Yes,No,Handmade
87,6.2,6.2,0.0,4.8311,1420.0,No,No,Handmade
88,8.0,8.0,0.0,,,Yes,No,Handmade
89,3.2,3.2,0.0,4.9796,18904.0,No,No,Handmade
90,14.99,14.99,0.0,4.9279,4173.0,No,No,Handmade
91,7.18,7.18,0.0,4.9251,7202.0,No,No,Handmade
92,8.5,8.5,0.0,4.9,658.0,No,No,Handmade
93,8.49,9.99,15.0,4.8951,3752.0,No,No,Handmade
94,3.5,3.5,0.0,4.9507,2136.0,No,Yes,Handmade
95,7.16,7.16,0.0,4.7674,3064.0,No,No,Handmade
96,97.9,97.9,0.0,4.6667,231.0,Yes,No,Handmade
97,1.0,1.0,0.0,4.881,3745.0,No,No,Handmade
98,12.99,12.99,0.0,4.9062,4856.0,Yes,No,Handmade
99,3.59,7.18,50.0,5.0,476.0,No,No,Handmade
100,14.93,14.93,0.0,4.9444,756.0,Yes,No,Handmade
101,0.89,0.99,10.0,4.9184,4450.0,No,No,Handmade
102,4.32,14.4,70.0,4.9146,2267.0,No,No,Handmade
103,12.27,12.27,0.0,4.875,421.0,Yes,No,Handmade
104,165.0,165.0,0.0,4.9614,2539.0,No,No,Handmade
105,2.44,2.44,0.0,4.7547,780.0,No,No,Handmade
106,5.25,5.25,0.0,4.8519,480.0,Yes,No,Handmade
107,5.02,5.02,0.0,4.8936,349.0,No,No,Handmade
108,5.6,8.0,30.0,4.8833,1722.0,No,No,Handmade
109,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Handmade
110,18.0,18.0,0.0,5.0,2474.0,Yes,No,Handmade
111,1.3,1.3,0.0,5.0,4097.0,Yes,No,Handmade
112,4.9,4.9,0.0,4.9796,18904.0,No,No,Handmade
113,7.5,7.5,0.0,4.9357,4748.0,No,No,Handmade
114,2.85,2.85,0.0,4.9434,618.0,No,No,Handmade
115,8.99,9.99,10.0,4.9815,1424.0,No,No,Handmade
116,9.99,9.99,0.0,4.9279,4173.0,No,No,Handmade
117,3.5,3.5,0.0,5.0,774.0,No,No,Handmade
118,6.5,6.5,0.0,5.0,471.0,No,No,Handmade
119,280.0,280.0,0.0,4.2857,1159.0,No,No,Handmade
120,11.9,11.9,0.0,4.9524,608.0,Yes,No,Handmade
121,8.0,8.0,0.0,5.0,635.0,No,No,Handmade
122,7.2,12.0,40.0,4.9582,7211.0,No,No,Handmade
123,1.75,1.75,0.0,4.9565,1177.0,Yes,No,Handmade
124,7.82,11.17,30.0,4.8972,4588.0,No,No,Handmade
125,3.0,5.0,40.0,4.9366,5008.0,No,No,Handmade
126,7.0,7.0,0.0,4.5542,572.0,Yes,No,Handmade
127,1.44,1.44,0.0,4.9649,204.0,No,No,Handmade
128,4.31,4.31,0.0,4.8386,2855.0,No,No,Handmade
129,5.0,5.0,0.0,4.8421,1453.0,Yes,No,Handmade
130,1.0,1.0,0.0,4.9804,4171.0,Yes,No,Handmade
131,2.15,2.15,0.0,4.45,288.0,No,No,Handmade
132,75.0,75.0,0.0,5.0,431.0,Yes,No,Handmade
133,18.31,18.31,0.0,4.75,1164.0,Yes,No,Handmade
134,5.95,5.95,0.0,4.9759,727.0,Yes,No,Handmade
135,16.36,16.36,0.0,5.0,231.0,Yes,No,Handmade
136,2.0,2.0,0.0,4.9659,1293.0,No,No,Handmade
137,97.9,97.9,0.0,4.6667,231.0,Yes,No,Handmade
138,7.18,7.18,0.0,4.9251,7202.0,No,No,Handmade
139,15.0,15.0,0.0,5.0,1060.0,Yes,No,Handmade
140,3.85,3.85,0.0,4.9792,922.0,No,Yes,Handmade
141,5.0,10.0,50.0,4.7822,3003.0,No,No,Handmade
142,5.0,5.0,0.0,4.9518,1945.0,Yes,No,Handmade
143,15.0,15.0,0.0,4.9487,1492.0,Yes,No,Handmade
144,7.16,7.16,0.0,4.7674,3064.0,No,No,Handmade
145,2.44,2.44,0.0,4.7547,780.0,No,No,Handmade
146,14.93,14.93,0.0,4.9444,756.0,Yes,No,Handmade
147,12.27,12.27,0.0,4.875,421.0,Yes,No,Handmade
148,3.95,13.16,70.0,4.9146,2267.0,No,No,Handmade
149,4.75,4.75,0.0,4.8519,480.0,Yes,No,Handmade
150,165.0,165.0,0.0,4.9614,2539.0,No,No,Handmade
151,0.89,0.99,10.0,4.9184,4450.0,No,No,Handmade
152,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Handmade
153,1.3,1.3,0.0,5.0,4097.0,Yes,No,Handmade
154,5.59,7.99,30.0,4.8833,1722.0,No,No,Handmade
155,15.0,15.0,0.0,5.0,2474.0,Yes,No,Handmade
156,14.99,14.99,0.0,4.9279,4173.0,No,No,Handmade
157,5.4,9.0,40.0,4.9366,5008.0,No,No,Handmade
158,5.02,5.02,0.0,4.8936,349.0,No,No,Handmade
159,97.9,97.9,0.0,4.6667,231.0,Yes,No,Handmade
160,15.0,15.0,0.0,5.0,3398.0,Yes,No,Handmade
161,2.75,2.75,0.0,4.9524,649.0,Yes,No,Handmade
162,2.99,4.99,40.0,4.9582,7211.0,No,No,Handmade
163,7.16,7.16,0.0,4.9,5528.0,No,No,Handmade
164,15.96,15.96,0.0,4.5556,911.0,Yes,No,Handmade
165,6.0,6.0,0.0,4.9293,3045.0,No,No,Handmade
166,6.0,10.0,40.0,4.8556,7342.0,No,No,Handmade
167,3.59,3.59,0.0,4.7059,232.0,No,No,Handmade
168,2.15,2.15,0.0,4.45,288.0,No,No,Handmade
169,6.95,6.95,0.0,4.8654,1546.0,No,No,Handmade
170,13.49,14.99,10.0,4.9924,1545.0,No,No,Handmade
171,18.0,18.0,0.0,,,Yes,No,Handmade
172,20.0,20.0,0.0,4.875,1055.0,Yes,No,Handmade
173,10.0,10.0,0.0,4.9247,996.0,Yes,No,Handmade
174,5.3,5.3,0.0,4.9524,608.0,Yes,No,Handmade
175,442.8,442.8,0.0,5.0,102.0,Yes,No,Handmade
176,1.75,1.75,0.0,4.9565,1177.0,Yes,No,Handmade
177,20.0,20.0,0.0,4.9792,922.0,No,No,Handmade
178,5.0,5.0,0.0,4.9851,1024.0,Yes,No,Handmade
179,22.36,22.36,0.0,4.0,34.0,Yes,No,Handmade
180,15.0,15.0,0.0,5.0,535.0,Yes,No,Handmade
181,125.0,125.0,0.0,,,Yes,No,Handmade
182,9.59,15.99,40.0,4.8958,1198.0,No,No,Handmade
183,8.5,8.5,0.0,4.9811,1670.0,Yes,No,Handmade
184,0.5,0.5,0.0,4.5946,308.0,Yes,No,Handmade
185,375.0,375.0,0.0,5.0,146.0,Yes,No,Handmade
186,20.74,20.74,0.0,5.0,170.0,Yes,No,Handmade
187,3.75,3.75,0.0,4.9787,1128.0,No,No,Handmade
188,50.0,50.0,0.0,4.9658,3168.0,Yes,No,Handmade
189,13.52,13.52,0.0,5.0,359.0,Yes,No,Handmade
190,14.93,14.93,0.0,4.9444,756.0,Yes,No,Handmade
191,4.16,4.16,0.0,4.7547,780.0,No,No,Handmade
192,12.27,12.27,0.0,4.875,421.0,Yes,No,Handmade
193,160.0,160.0,0.0,4.9614,2539.0,No,No,Handmade
194,5.0,5.0,0.0,4.8519,480.0,Yes,No,Handmade
195,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Handmade
196,3.95,13.16,70.0,4.9146,2267.0,No,No,Handmade
197,5.6,8.0,30.0,4.8833,1722.0,No,No,Handmade
198,0.5,0.5,0.0,4.9184,4450.0,Yes,No,Handmade
199,14.99,14.99,0.0,4.9279,4173.0,No,No,Handmade
200,3.0,5.0,40.0,4.9366,5008.0,No,No,Handmade
201,6.95,6.95,0.0,4.8654,1546.0,No,No,Handmade
202,1.3,1.3,0.0,5.0,4097.0,Yes,No,Handmade
203,15.0,15.0,0.0,5.0,2474.0,Yes,No,Handmade
204,5.02,5.02,0.0,4.8936,349.0,No,No,Handmade
205,15.96,15.96,0.0,4.5556,911.0,Yes,No,Handmade
206,97.9,97.9,0.0,4.6667,231.0,Yes,No,Handmade
207,15.0,15.0,0.0,5.0,3398.0,Yes,No,Handmade
208,8.5,10.0,15.0,4.6073,1599.0,Yes,No,Handmade
209,7.2,8.0,10.0,4.6364,540.0,No,No,Handmade
210,6.95,6.95,0.0,5.0,86.0,Yes,No,Handmade
211,5.4,9.0,40.0,4.9582,7211.0,No,No,Handmade
212,2.15,2.15,0.0,4.9,259.0,Yes,No,Handmade
213,12.0,12.0,0.0,5.0,255.0,Yes,No,Handmade
214,10.0,10.0,0.0,,,Yes,No,Handmade
215,0.95,0.95,0.0,,,No,No,Handmade
216,5.25,5.25,0.0,,,No,No,Handmade
217,6.5,6.5,0.0,5.0,24.0,No,No,Handmade
218,5.95,5.95,0.0,4.9759,727.0,Yes,No,Handmade
219,11.57,11.57,0.0,5.0,170.0,Yes,No,Handmade
220,2.87,2.87,0.0,4.8601,2182.0,No,No,Handmade
221,0.5,0.5,0.0,4.9052,2571.0,Yes,No,Handmade
222,1.5,1.5,0.0,5.0,575.0,Yes,No,Handmade
223,7.5,7.5,0.0,4.9357,4748.0,No,No,Handmade
224,12.36,12.36,0.0,,,No,No,Handmade
225,7.0,7.0,0.0,4.5542,572.0,Yes,No,Handmade
226,3.3,5.5,40.0,4.9434,1669.0,Yes,No,Handmade
227,6.0,6.0,0.0,5.0,1422.0,No,No,Handmade
228,1.75,1.75,0.0,4.9565,1177.0,Yes,No,Handmade
229,36.0,40.0,10.0,4.9615,2228.0,Yes,No,Handmade
230,1.2,1.6,25.0,4.979,1144.0,No,No,Handmade
231,5.5,5.5,0.0,5.0,676.0,No,No,Handmade
232,5.0,5.0,0.0,4.4189,638.0,No,No,Handmade
233,1.3,1.3,0.0,4.8375,3568.0,No,No,Handmade
234,10.0,10.0,0.0,4.9898,11190.0,Yes,No,Handmade
235,1.94,1.94,0.0,4.7547,780.0,No,No,Handmade
236,4.15,4.15,0.0,4.9444,756.0,No,No,Handmade
237,6.25,6.25,0.0,4.8519,480.0,Yes,No,Handmade
238,160.0,160.0,0.0,4.9614,2539.0,No,No,Handmade
239,12.21,12.21,0.0,4.875,421.0,Yes,No,Handmade
240,0.89,0.99,10.0,4.9184,4450.0,No,No,Handmade
241,18.0,18.0,0.0,5.0,2474.0,Yes,No,Handmade
242,5.6,8.0,30.0,4.8833,1722.0,No,No,Handmade
243,97.9,97.9,0.0,4.6667,231.0,Yes,No,Handmade
244,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Handmade
245,5.4,9.0,40.0,4.9582,7211.0,No,No,Handmade
246,6.95,6.95,0.0,4.8654,1546.0,No,No,Handmade
247,9.99,9.99,0.0,4.9279,4173.0,No,No,Handmade
248,2.15,2.15,0.0,4.9,259.0,Yes,No,Handmade
249,4.47,8.95,50.0,4.8889,1413.0,Yes,No,Handmade
250,10.0,10.0,0.0,4.9651,5486.0,Yes,No,Handmade
251,10.0,10.0,0.0,4.9722,387.0,Yes,No,Handmade
252,16.0,16.0,0.0,5.0,230.0,Yes,No,Handmade
253,2.17,2.17,0.0,4.9553,1961.0,Yes,Yes,Handmade
254,22.0,22.0,0.0,4.8,913.0,Yes,No,Handmade
255,11.0,11.0,0.0,4.9609,1620.0,No,No,Handmade
256,175.0,175.0,0.0,,,Yes,No,Handmade
257,4.67,4.67,0.0,4.9545,571.0,No,No,Handmade
258,9.0,9.0,0.0,4.8,1221.0,No,No,Handmade
259,1.5,1.5,0.0,5.0,575.0,Yes,No,Handmade
260,4.0,4.0,0.0,4.982,17860.0,No,No,Handmade
261,12.99,12.99,0.0,4.949,4454.0,No,No,Handmade
262,13.99,13.99,0.0,4.9787,2624.0,Yes,No,Handmade
263,35.0,35.0,0.0,4.9492,1288.0,Yes,No,Handmade
264,5.73,5.73,0.0,4.9793,342.0,No,No,Handmade
265,10.0,10.0,0.0,4.953,1257.0,Yes,No,Handmade
266,6.5,6.5,0.0,4.9505,10885.0,No,No,Handmade
267,17.55,17.55,0.0,5.0,831.0,Yes,No,Handmade
268,8.0,8.0,0.0,4.9167,552.0,No,No,Handmade
269,7.19,7.99,10.0,4.9815,1424.0,No,No,Handmade
270,10.0,10.0,0.0,4.9339,726.0,Yes,No,Handmade
271,17.99,17.99,0.0,5.0,2616.0,Yes,No,Handmade
272,313.55,313.55,0.0,5.0,102.0,Yes,No,Handmade
273,15.0,15.0,0.0,5.0,284.0,Yes,No,Handmade
274,10.49,14.99,30.0,4.9503,6744.0,No,No,Handmade
275,2.25,2.25,0.0,5.0,573.0,Yes,No,Handmade
276,1.44,1.44,0.0,4.9649,204.0,No,No,Handmade
277,2.75,2.75,0.0,5.0,431.0,No,No,Handmade
278,5.0,5.0,0.0,4.9518,1945.0,Yes,No,Handmade
279,14.93,14.93,0.0,4.9444,756.0,Yes,No,Handmade
280,15.56,15.56,0.0,5.0,78.0,Yes,No,Handmade
281,2.44,2.44,0.0,4.7547,780.0,No,No,Handmade
282,160.0,160.0,0.0,4.9614,2539.0,No,No,Handmade
283,0.76,0.95,20.0,4.9184,4450.0,No,No,Handmade
284,100.0,100.0,0.0,4.8519,480.0,Yes,No,Handmade
285,5.59,7.99,30.0,4.8833,1722.0,No,No,Handmade
286,15.0,15.0,0.0,5.0,2474.0,Yes,No,Handmade
287,97.9,97.9,0.0,4.6667,231.0,Yes,No,Handmade
288,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Handmade
289,6.95,6.95,0.0,4.8654,1546.0,No,No,Handmade
290,4.0,4.0,0.0,4.982,17860.0,No,No,Handmade
291,14.99,14.99,0.0,4.9279,4173.0,No,No,Handmade
292,6.5,6.5,0.0,4.9505,10885.0,No,No,Handmade
293,15.0,15.0,0.0,5.0,284.0,Yes,No,Handmade
294,11.0,11.0,0.0,4.9609,1620.0,No,No,Handmade
295,5.0,5.0,0.0,4.9518,1945.0,Yes,No,Handmade
296,18.0,18.0,0.0,5.0,1422.0,Yes,No,Handmade
297,4.31,4.31,0.0,5.0,87.0,No,No,Handmade
298,4.0,4.0,0.0,4.8889,223.0,No,No,Handmade
299,10.4,13.0,20.0,4.9796,3891.0,Yes,No,Handmade
300,5.0,5.0,0.0,4.9773,1380.0,Yes,No,Handmade
301,5.02,5.02,0.0,4.5704,1115.0,No,No,Handmade
302,20.0,20.0,0.0,5.0,918.0,Yes,No,Handmade
303,5.0,5.0,0.0,4.0,186.0,No,No,Handmade
304,103.72,103.72,0.0,5.0,138.0,No,No,Handmade
305,1.3,1.3,0.0,5.0,4097.0,Yes,No,Handmade
306,7.0,7.0,0.0,5.0,488.0,Yes,No,Handmade
307,10.49,14.99,30.0,4.9503,6744.0,No,No,Handmade
308,12.0,12.0,0.0,4.9375,514.0,Yes,No,Handmade
309,6.0,6.0,0.0,4.8,1221.0,No,No,Handmade
310,30.0,30.0,0.0,4.9492,1288.0,Yes,No,Handmade
311,19.99,19.99,0.0,5.0,133.0,Yes,No,Handmade
312,10.7,15.29,30.0,4.8314,2343.0,No,No,Handmade
313,1.75,1.75,0.0,4.9565,1177.0,Yes,No,Handmade
314,25.0,25.0,0.0,,,Yes,No,Handmade
315,1.99,3.99,50.0,5.0,476.0,No,No,Handmade
316,9.77,11.5,15.0,4.8791,465.0,No,No,Handmade
317,2.5,2.5,0.0,4.1429,487.0,Yes,No,Handmade
318,5.02,5.02,0.0,4.8936,349.0,No,No,Handmade
319,3.38,4.83,30.0,4.8286,264.0,No,No,Handmade
320,17.55,17.55,0.0,5.0,831.0,Yes,No,Handmade
321,9.5,9.5,0.0,4.9485,1651.0,Yes,No,Handmade
322,13.0,13.0,0.0,4.9898,11190.0,Yes,No,Handmade
323,10.2,12.0,15.0,4.9553,6694.0,Yes,No,Handmade
324,14.93,14.93,0.0,4.9444,756.0,Yes,No,Handmade
325,5.8,5.8,0.0,4.8,439.0,No,No,Handmade
326,5.02,5.02,0.0,4.7547,780.0,No,No,Handmade
327,160.0,160.0,0.0,4.9614,2539.0,No,No,Handmade
328,5.59,7.99,30.0,4.8833,1722.0,No,No,Handmade
329,5.25,5.25,0.0,4.8519,480.0,Yes,No,Handmade
330,97.9,97.9,0.0,4.6667,231.0,Yes,No,Handmade
331,0.89,0.99,10.0,4.9184,4450.0,No,No,Handmade
332,0.7,1.0,30.0,4.9574,13988.0,Yes,No,Handmade
333,15.0,15.0,0.0,5.0,2474.0,Yes,No,Handmade
334,9.99,9.99,0.0,4.9279,4173.0,No,No,Handmade
335,15.0,15.0,0.0,5.0,284.0,Yes,No,Handmade
336,12.5,12.5,0.0,4.9505,10885.0,No,No,Handmade
337,50.0,50.0,0.0,4.9492,1288.0,Yes,No,Handmade
338,32.0,32.0,0.0,4.982,17860.0,No,No,Handmade
339,6.95,6.95,0.0,4.8654,1546.0,No,No,Handmade
340,1.75,1.75,0.0,4.9565,1177.0,Yes,No,Handmade
341,5.0,5.0,0.0,4.0,186.0,No,No,Handmade
342,4.49,5.99,25.0,4.0714,187.0,Yes,No,Handmade
343,5.75,5.75,0.0,4.7778,468.0,No,No,Handmade
344,7.19,7.99,10.0,4.9815,1424.0,No,No,Handmade
345,9.1,9.1,0.0,4.9512,1307.0,No,No,Handmade
346,6.0,6.0,0.0,4.7797,245.0,No,No,Handmade
347,5.25,5.25,0.0,5.0,50.0,No,No,Handmade
348,3.73,3.73,0.0,4.9921,755.0,No,No,Handmade
349,10.0,10.0,0.0,5.0,4057.0,Yes,No,Handmade
350,27.0,30.0,10.0,4.954,953.0,Yes,No,Handmade
351,10.0,10.0,0.0,5.0,1971.0,Yes,No,Handmade
352,6.75,9.0,25.0,4.9282,1695.0,Yes,No,Handmade
353,3.5,3.5,0.0,4.9507,2136.0,No,No,Handmade
354,10.7,15.29,30.0,4.8314,2343.0,No,No,Handmade
355,100.0,100.0,0.0,5.0,374.0,Yes,No,Handmade
356,10.0,10.0,0.0,4.9538,456.0,Yes,No,Handmade
357,10.95,10.95,0.0,5.0,688.0,Yes,No,Handmade
358,12.0,12.0,0.0,4.9375,514.0,Yes,No,Handmade
359,1.44,1.44,0.0,4.9722,78.0,No,No,Handmade
360,7.18,7.18,0.0,4.9251,7202.0,No,No,Handmade
361,4.13,4.13,0.0,4.5,66.0,Yes,No,Handmade
362,9.5,9.5,0.0,4.9485,1651.0,Yes,No,Handmade
363,15.0,15.0,0.0,4.961,2027.0,Yes,No,Handmade
364,6.0,10.0,40.0,4.8556,7342.0,No,No,Handmade
365,12.0,12.0,0.0,4.9114,1264.0,Yes,No,Handmade
366,10.0,10.0,0.0,4.88,2188.0,Yes,Yes,Handmade
367,1.44,1.44,0.0,4.9192,4825.0,No,No,Handmade
368,8.09,8.09,0.0,4.9414,3122.0,No,No,Handmade
369,2.5,2.5,0.0,4.1429,487.0,Yes,No,Handmade
370,14.93,14.93,0.0,4.9444,756.0,Yes,No,Handmade
371,5.02,5.02,0.0,4.7547,780.0,No,No,Handmade
372,160.0,160.0,0.0,4.9614,2539.0,No,No,Handmade
373,0.89,0.99,10.0,4.9184,4450.0,No,No,Handmade
374,5.6,8.0,30.0,4.8833,1722.0,No,No,Handmade
375,97.9,97.9,0.0,4.6667,231.0,Yes,No,Handmade
376,5.0,5.0,0.0,4.8519,480.0,Yes,No,Handmade
377,12.5,12.5,0.0,4.9505,10885.0,No,No,Handmade
378,15.0,15.0,0.0,5.0,2474.0,Yes,No,Handmade
379,14.99,14.99,0.0,4.9279,4173.0,No,No,Handmade
380,4.0,4.0,0.0,4.982,17860.0,No,No,Handmade
381,8.09,8.09,0.0,4.9414,3122.0,No,No,Handmade
382,4.47,8.95,50.0,4.8889,1413.0,Yes,No,Handmade
383,7.48,7.48,0.0,4.9783,466.0,No,No,Handmade
384,21.99,21.99,0.0,4.9787,2624.0,Yes,No,Handmade
385,1.5,1.5,0.0,5.0,575.0,Yes,No,Handmade
386,4.25,4.25,0.0,5.0,457.0,No,No,Handmade
387,35.0,35.0,0.0,4.9773,111.0,No,No,Handmade
388,4.3,8.6,50.0,4.8759,5790.0,No,No,Handmade
389,5.58,9.3,40.0,4.925,6575.0,No,No,Handmade
390,25.0,25.0,0.0,4.7,1921.0,Yes,No,Handmade
391,1.44,1.44,0.0,4.9649,204.0,No,No,Handmade
392,1.44,1.44,0.0,4.8633,2414.0,No,No,Handmade
393,208.12,208.12,0.0,5.0,149.0,Yes,No,Handmade
394,3.0,3.0,0.0,5.0,81.0,Yes,No,Handmade
395,14.95,14.95,0.0,4.9531,1334.0,Yes,No,Handmade
396,5.5,5.5,0.0,4.931,335.0,Yes,No,Handmade
397,6.5,6.5,0.0,5.0,471.0,No,No,Handmade
398,2.15,2.15,0.0,4.5,440.0,No,No,Handmade
399,4.9,4.9,0.0,4.9796,18904.0,No,No,Handmade
400,9.5,9.5,0.0,4.9485,1651.0,Yes,No,Handmade
401,2.0,2.0,0.0,4.7647,675.0,Yes,No,Handmade
402,1.0,1.0,0.0,4.9688,189.0,No,No,Handmade
403,5.02,5.02,0.0,4.9723,1944.0,No,No,Handmade
404,10.0,10.0,0.0,5.0,984.0,No,No,Handmade
405,13.0,13.0,0.0,4.9604,2035.0,Yes,No,Handmade
406,12.99,12.99,0.0,4.9105,2311.0,Yes,No,Handmade
407,150.0,150.0,0.0,4.8788,838.0,Yes,No,Handmade
408,2.0,2.0,0.0,4.9659,1293.0,No,No,Handmade
409,4.0,4.0,0.0,4.7778,468.0,No,No,Handmade
410,7.5,7.5,0.0,5.0,85.0,Yes,No,Handmade
411,13.49,14.99,10.0,4.9924,1545.0,No,No,Handmade
412,12.0,15.0,20.0,4.9231,3595.0,Yes,No,Handmade
413,6.95,6.95,0.0,4.8654,1546.0,No,No,Handmade
414,5.02,5.02,0.0,4.8936,349.0,No,No,Handmade
415,14.93,14.93,0.0,4.9444,756.0,Yes,No,Handmade
416,150.0,150.0,0.0,4.9614,2539.0,No,No,Handmade
417,1.87,1.87,0.0,4.7547,780.0,No,No,Handmade
418,5.59,7.99,30.0,4.8833,1722.0,No,No,Handmade
