,Price,Original_Price,Off(%),Rating,Reviews,Free_shipping,Best_seller,Theme
31,8.31,8.31,0.0,5.0,269.0,Yes,No,Boho
32,0.92,0.92,0.0,5.0,9.0,No,No,Boho
33,11.53,11.53,0.0,5.0,46.0,Yes,No,Boho
34,7.96,9.95,20.0,4.9574,195.0,No,No,Boho
35,13.99,19.99,30.0,4.9948,239.0,No,No,Boho
36,6.49,6.49,0.0,5.0,11.0,No,No,Boho
37,8.5,8.5,0.0,5.0,165.0,Yes,No,Boho
38,7.19,7.19,0.0,,,Yes,No,Boho
39,2.8,2.8,0.0,4.9506,1943.0,Yes,No,Boho
40,9.99,9.99,0.0,4.75,25.0,No,No,Boho
41,9.77,19.55,50.0,4.918,62.0,No,No,Boho
42,15.87,15.87,0.0,5.0,218.0,Yes,No,Boho
43,3.07,3.07,0.0,4.9643,931.0,No,No,Boho
44,3.0,3.0,0.0,4.9651,143.0,No,No,Boho
45,1.37,1.37,0.0,4.9714,286.0,Yes,No,Boho
46,3.6,3.6,0.0,5.0,18.0,No,No,Boho
47,2.95,2.95,0.0,4.9531,793.0,No,No,Boho
48,6.5,6.5,0.0,4.7826,1219.0,No,No,Boho
49,12.0,12.0,0.0,4.7722,2884.0,Yes,No,Boho
50,73.5,73.5,0.0,5.0,341.0,Yes,No,Boho
51,14.19,28.39,50.0,4.8588,86.0,No,No,Boho
52,10.5,14.0,25.0,4.9795,3889.0,Yes,No,Boho
53,1.68,1.68,0.0,4.3043,28.0,No,No,Boho
54,8.0,8.0,0.0,5.0,42.0,No,No,Boho
55,14.0,14.0,0.0,5.0,1598.0,Yes,No,Boho
56,5.59,7.99,30.0,4.8828,1719.0,No,No,Boho
57,14.99,14.99,0.0,4.9268,4163.0,No,No,Boho
58,7.96,9.95,20.0,4.9574,195.0,No,No,Boho
59,8.2,8.2,0.0,4.9510000000000005,1306.0,No,No,Boho
60,3.07,3.07,0.0,4.9643,931.0,No,No,Boho
61,14.99,18.74,20.0,4.8196,10096.0,Yes,No,Boho
62,10.5,14.0,25.0,4.8614,1032.0,Yes,No,Boho
63,3.5,3.5,0.0,4.9531,793.0,No,No,Boho
64,9.77,11.5,15.0,4.8791,464.0,No,No,Boho
65,15.87,15.87,0.0,5.0,218.0,Yes,No,Boho
66,34.95,34.95,0.0,4.7586,1766.0,Yes,No,Boho
67,2.25,2.25,0.0,5.0,948.0,No,No,Boho
68,9.92,9.92,0.0,5.0,186.0,Yes,No,Boho
69,22.43,22.43,0.0,5.0,197.0,No,No,Boho
70,3.07,3.07,0.0,4.8571,14.0,Yes,No,Boho
71,6.5,6.5,0.0,4.7826,1219.0,No,No,Boho
72,15.99,19.99,20.0,5.0,112.0,No,No,Boho
73,10.0,10.0,0.0,4.8889,18.0,No,No,Boho
74,8.5,8.5,0.0,5.0,165.0,Yes,No,Boho
75,10.5,14.0,25.0,4.9795,3889.0,Yes,No,Boho
76,75.0,75.0,0.0,5.0,37.0,No,No,Boho
77,30.0,30.0,0.0,4.9875,2039.0,Yes,No,Boho
78,6.0,6.0,0.0,4.9506,1943.0,Yes,No,Boho
79,14.19,28.39,50.0,4.8588,86.0,No,No,Boho
80,5.5,5.5,0.0,,,Yes,No,Boho
81,3.4,3.4,0.0,5.0,93.0,Yes,No,Boho
82,20.0,20.0,0.0,4.917,769.0,No,No,Boho
83,2.7,2.7,0.0,4.8182,331.0,No,No,Boho
84,15.0,15.0,0.0,5.0,44.0,No,No,Boho
85,8.0,8.0,0.0,4.7722,2884.0,Yes,No,Boho
86,12.06,13.4,10.0,5.0,414.0,No,No,Boho
87,31.75,31.75,0.0,5.0,95.0,No,No,Boho
88,198.41,198.41,0.0,4.9444,509.0,No,No,Boho
89,5.5,5.5,0.0,4.9574,1299.0,No,No,Boho
90,6.49,6.49,0.0,4.9777,403.0,No,No,Boho
91,4.31,4.31,0.0,4.9121,91.0,No,No,Boho
92,9.77,19.55,50.0,4.918,62.0,No,No,Boho
93,7.83,7.83,0.0,4.8929,84.0,No,No,Boho
94,11.68,14.6,20.0,4.9525,1140.0,No,No,Boho
95,3.0,3.0,0.0,4.9706,138.0,Yes,No,Boho
96,6.0,6.0,0.0,4.2857,1159.0,No,No,Boho
97,10.5,10.5,0.0,4.9916,4522.0,No,No,Boho
98,122.68,122.68,0.0,5.0,28.0,Yes,No,Boho
99,11.53,11.53,0.0,5.0,43.0,No,No,Boho
100,5.6,8.0,30.0,4.8828,1719.0,No,No,Boho
101,14.99,14.99,0.0,4.9268,4163.0,No,No,Boho
102,6.85,6.85,0.0,4.9510000000000005,1306.0,No,No,Boho
103,15.99,19.99,20.0,4.8196,10096.0,Yes,No,Boho
104,4.35,4.35,0.0,4.9531,793.0,No,No,Boho
105,10.0,10.0,0.0,4.8889,18.0,No,No,Boho
106,75.0,75.0,0.0,5.0,37.0,No,No,Boho
107,14.19,28.39,50.0,4.8588,86.0,No,No,Boho
108,14.0,14.0,0.0,5.0,1598.0,Yes,No,Boho
109,3.0,3.0,0.0,5.0,948.0,No,No,Boho
110,20.0,20.0,0.0,4.917,769.0,No,No,Boho
111,3.4,3.4,0.0,5.0,93.0,Yes,No,Boho
112,8.0,8.0,0.0,4.7722,2884.0,Yes,No,Boho
113,11.9,11.9,0.0,5.0,95.0,No,No,Boho
114,3.07,3.07,0.0,4.9643,931.0,No,No,Boho
115,11.9,11.9,0.0,5.0,218.0,Yes,No,Boho
116,9.77,19.55,50.0,4.918,62.0,No,No,Boho
117,8.5,8.5,0.0,4.9916,4522.0,No,No,Boho
118,10.26,11.4,10.0,5.0,414.0,No,No,Boho
119,3.68,3.68,0.0,4.8571,14.0,Yes,No,Boho
120,18.0,18.0,0.0,4.9744,128.0,No,No,Boho
121,17.67,22.08,20.0,4.9283,252.0,No,No,Boho
122,17.0,17.0,0.0,4.9043,798.0,Yes,No,Boho
123,8.95,8.95,0.0,4.9779,461.0,No,No,Boho
124,0.7,0.7,0.0,4.9383,2116.0,Yes,No,Boho
125,20.0,20.0,0.0,5.0,11.0,Yes,No,Boho
126,3.5,3.5,0.0,5.0,93.0,No,No,Boho
127,0.96,0.96,0.0,5.0,3.0,Yes,No,Boho
128,14.4,14.4,0.0,4.963,165.0,No,No,Boho
129,8.33,11.9,30.0,,,Yes,No,Boho
130,5.99,9.99,40.0,4.9298,1220.0,No,No,Boho
131,15.99,19.99,20.0,5.0,112.0,No,No,Boho
132,29.5,29.5,0.0,4.8571,132.0,No,No,Boho
133,6.25,6.25,0.0,4.9298,333.0,Yes,No,Boho
134,6.99,9.99,30.0,4.9948,239.0,No,No,Boho
135,40.0,40.0,0.0,5.0,1.0,Yes,No,Boho
136,5.2,5.2,0.0,4.9346,920.0,Yes,No,Boho
137,7.96,9.95,20.0,4.9574,195.0,No,No,Boho
138,6.65,6.65,0.0,5.0,459.0,Yes,No,Boho
139,59.0,59.0,0.0,4.9754,1919.0,Yes,No,Boho
140,12.5,12.5,0.0,4.9612,103.0,No,No,Boho
141,10.81,10.81,0.0,4.8636,170.0,No,No,Boho
142,10.0,10.0,0.0,4.9925,1047.0,No,No,Boho
143,8.0,8.0,0.0,4.9407,3002.0,Yes,No,Boho
144,0.89,0.99,10.0,4.9107,4440.0,No,No,Boho
145,5.59,7.99,30.0,4.8828,1719.0,No,No,Boho
146,14.99,14.99,0.0,4.9268,4163.0,No,No,Boho
147,6.85,6.85,0.0,4.9510000000000005,1306.0,No,No,Boho
148,75.0,75.0,0.0,5.0,37.0,No,No,Boho
149,3.6,3.6,0.0,4.9531,793.0,No,No,Boho
150,20.0,20.0,0.0,4.917,769.0,No,No,Boho
151,7.99,15.99,50.0,4.8588,86.0,No,No,Boho
152,3.4,3.4,0.0,5.0,93.0,Yes,No,Boho
153,3.07,3.07,0.0,4.8571,14.0,Yes,No,Boho
154,19.26,21.4,10.0,5.0,414.0,No,No,Boho
155,44.17,55.21,20.0,4.9283,252.0,No,No,Boho
156,2.5,2.5,0.0,5.0,948.0,No,No,Boho
157,17.0,17.0,0.0,4.9043,798.0,Yes,No,Boho
158,25.0,25.0,0.0,4.9714,425.0,Yes,No,Boho
159,9.77,19.55,50.0,4.918,62.0,No,No,Boho
160,15.99,19.99,20.0,4.8196,10096.0,Yes,No,Boho
161,7.79,12.99,40.0,4.8951,1197.0,No,No,Boho
162,1.04,1.04,0.0,4.8182,331.0,No,No,Boho
163,165.62,165.62,0.0,5.0,28.0,Yes,No,Boho
164,4.0,4.0,0.0,4.9563,207.0,Yes,No,Boho
165,4.0,4.0,0.0,5.0,34.0,No,No,Boho
166,8.65,8.65,0.0,,,No,No,Boho
167,11.0,11.0,0.0,4.9612,1619.0,No,No,Boho
168,0.89,0.99,10.0,4.9107,4440.0,No,No,Boho
169,28.46,35.58,20.0,4.9091,396.0,No,No,Boho
170,3.0,3.0,0.0,4.9412,17.0,No,No,Boho
171,4.1,4.1,0.0,4.9346,920.0,Yes,No,Boho
172,8.65,8.65,0.0,5.0,25.0,Yes,No,Boho
173,13.29,13.29,0.0,5.0,5.0,Yes,No,Boho
174,0.2,0.2,0.0,4.9841,317.0,Yes,No,Boho
175,40.0,40.0,0.0,4.9492,1286.0,Yes,No,Boho
176,3.6,3.6,0.0,5.0,66.0,No,No,Boho
177,73.61,92.01,20.0,4.9525,1140.0,No,No,Boho
178,75.0,75.0,0.0,5.0,5.0,Yes,No,Boho
179,14.9,14.9,0.0,4.9441,1560.0,No,No,Boho
180,5.99,9.99,40.0,4.9779,3295.0,No,No,Boho
181,8.69,8.69,0.0,4.9167,148.0,No,No,Boho
182,22.0,22.0,0.0,4.9612,103.0,No,No,Boho
183,9.77,11.5,15.0,4.8791,464.0,No,No,Boho
184,4.5,4.5,0.0,4.9657,1286.0,Yes,No,Boho
185,12.9,12.9,0.0,5.0,25.0,No,No,Boho
186,7.59,9.49,20.0,4.963,134.0,No,No,Boho
187,60.0,60.0,0.0,3.6154,13.0,Yes,No,Boho
188,2.8,2.8,0.0,4.9506,1943.0,Yes,No,Boho
189,9.5,9.5,0.0,5.0,471.0,No,No,Boho
190,14.99,14.99,0.0,4.9268,4163.0,No,No,Boho
191,5.59,7.99,30.0,4.8828,1719.0,No,No,Boho
192,7.7,7.7,0.0,4.9510000000000005,1306.0,No,No,Boho
193,14.19,28.39,50.0,4.8588,86.0,No,No,Boho
194,75.0,75.0,0.0,5.0,37.0,No,No,Boho
195,3.2,3.2,0.0,4.9531,793.0,No,No,Boho
196,3.4,3.4,0.0,5.0,93.0,Yes,No,Boho
197,4.0,4.0,0.0,4.9563,207.0,Yes,No,Boho
198,8.65,8.65,0.0,,,No,No,Boho
199,9.77,19.55,50.0,4.918,62.0,No,No,Boho
200,7.79,12.99,40.0,4.8951,1197.0,No,No,Boho
201,15.99,19.99,20.0,4.8196,10096.0,Yes,No,Boho
202,19.12,22.5,15.0,4.8791,464.0,No,No,Boho
203,24.99,24.99,0.0,4.9944,498.0,No,No,Boho
204,60.0,60.0,0.0,3.6154,13.0,Yes,No,Boho
205,10.5,10.5,0.0,4.9612,103.0,No,No,Boho
206,2.75,2.75,0.0,5.0,47.0,No,No,Boho
207,8.09,8.99,10.0,4.9577,89.0,No,No,Boho
208,6.4,8.0,20.0,5.0,54.0,No,No,Boho
209,20.0,20.0,0.0,4.917,769.0,No,No,Boho
210,95.24,95.24,0.0,5.0,14.0,No,No,Boho
211,7.0,7.0,0.0,5.0,518.0,No,No,Boho
212,3.07,3.07,0.0,4.8571,14.0,Yes,No,Boho
213,10.0,10.0,0.0,5.0,733.0,Yes,No,Boho
214,9.99,9.99,0.0,4.8979,4462.0,No,No,Boho
215,4.89,6.99,30.0,4.9441,357.0,No,No,Boho
216,22.0,22.0,0.0,4.9612,1619.0,No,No,Boho
217,15.99,19.99,20.0,5.0,112.0,No,No,Boho
218,23.56,29.44,20.0,4.9283,252.0,No,No,Boho
219,13.99,19.99,30.0,4.9948,239.0,No,No,Boho
220,8.33,8.33,0.0,5.0,10.0,No,No,Boho
221,20.0,20.0,0.0,5.0,1.0,Yes,No,Boho
222,59.0,59.0,0.0,4.9754,1919.0,Yes,No,Boho
223,2.16,2.16,0.0,5.0,18.0,No,No,Boho
224,6.64,6.64,0.0,5.0,3.0,No,No,Boho
225,1.01,1.01,0.0,4.8846,3734.0,No,No,Boho
226,9.35,11.0,15.0,4.875,124.0,No,No,Boho
227,6.73,11.21,40.0,4.8997,1516.0,No,No,Boho
228,0.36,0.36,0.0,4.9364,303.0,Yes,No,Boho
229,5.8,5.8,0.0,4.9506,1943.0,Yes,No,Boho
230,5.25,5.25,0.0,4.9883,198.0,Yes,No,Boho
231,11.99,19.99,40.0,4.9779,3295.0,No,No,Boho
232,3.6,3.6,0.0,4.9543,2227.0,No,No,Boho
233,4.31,4.31,0.0,4.9121,91.0,No,No,Boho
234,9.81,12.27,20.0,4.9525,1140.0,No,No,Boho
235,9.99,9.99,0.0,4.9268,4163.0,No,No,Boho
236,5.6,8.0,30.0,4.8828,1719.0,No,No,Boho
237,3.4,3.4,0.0,4.9531,793.0,No,No,Boho
238,15.49,30.99,50.0,4.8588,86.0,No,No,Boho
239,4.0,4.0,0.0,4.9563,207.0,Yes,No,Boho
240,9.77,19.55,50.0,4.918,62.0,No,No,Boho
241,8.09,8.99,10.0,4.9577,89.0,No,No,Boho
242,20.0,20.0,0.0,4.917,769.0,No,No,Boho
243,4.1,4.1,0.0,5.0,93.0,Yes,No,Boho
244,17.67,22.08,20.0,4.9283,252.0,No,No,Boho
245,9.59,15.99,40.0,4.8951,1197.0,No,No,Boho
246,18.5,18.5,0.0,4.9612,103.0,No,No,Boho
247,3.07,3.07,0.0,4.8571,14.0,Yes,No,Boho
248,11.0,11.0,0.0,4.9612,1619.0,No,No,Boho
249,9.35,11.0,15.0,4.875,124.0,No,No,Boho
250,73.61,92.01,20.0,4.9525,1140.0,No,No,Boho
251,6.99,9.99,30.0,4.9948,239.0,No,No,Boho
252,6.5,6.5,0.0,4.98,109.0,No,No,Boho
253,3.99,3.99,0.0,,,No,No,Boho
254,19.85,39.7,50.0,5.0,21.0,Yes,No,Boho
255,25.9,25.9,0.0,5.0,25.0,Yes,No,Boho
256,4.75,4.75,0.0,4.9355,106.0,No,No,Boho
257,7.94,7.94,0.0,4.9383,1375.0,No,No,Boho
258,232.5,232.5,0.0,,,No,No,Boho
259,4.31,4.31,0.0,4.9121,91.0,No,No,Boho
260,29.5,29.5,0.0,5.0,253.0,Yes,No,Boho
261,3.99,3.99,0.0,,,Yes,No,Boho
262,8.54,8.54,0.0,4.8929,84.0,No,No,Boho
263,12.0,12.0,0.0,4.9744,128.0,No,No,Boho
264,19.52,19.52,0.0,4.9623,185.0,Yes,No,Boho
265,7.43,8.27,10.0,4.9441,348.0,No,No,Boho
266,10.8,13.5,20.0,4.9091,396.0,No,No,Boho
267,4.31,4.31,0.0,4.9847,1617.0,No,No,Boho
268,6.11,7.19,15.0,4.9438,8032.0,No,No,Boho
269,100.0,100.0,0.0,4.5542,571.0,Yes,No,Boho
270,5.5,5.5,0.0,4.9118,408.0,Yes,No,Boho
271,8.0,8.0,0.0,4.9607,2025.0,No,No,Boho
272,17.0,17.0,0.0,4.9043,798.0,Yes,No,Boho
273,16.11,23.02,30.0,4.9714,2081.0,No,No,Boho
274,98.0,98.0,0.0,5.0,408.0,Yes,No,Boho
275,24.99,24.99,0.0,5.0,16.0,No,No,Boho
276,150.0,150.0,0.0,4.7826,1219.0,Yes,No,Boho
277,4.95,4.95,0.0,4.9231,13.0,Yes,No,Boho
278,12.02,17.18,30.0,4.9273,154.0,No,No,Boho
279,7.91,9.89,20.0,5.0,41.0,No,No,Boho
280,14.99,14.99,0.0,4.9268,4163.0,No,No,Boho
281,5.59,7.99,30.0,4.8828,1719.0,No,No,Boho
282,55.0,55.0,0.0,4.9531,793.0,No,No,Boho
283,4.0,4.0,0.0,4.9563,207.0,Yes,No,Boho
284,7.37,14.74,50.0,4.8588,86.0,No,No,Boho
285,9.77,19.55,50.0,4.918,62.0,No,No,Boho
286,50.0,50.0,0.0,4.9612,1619.0,No,No,Boho
287,3.5,3.5,0.0,5.0,93.0,Yes,No,Boho
288,232.5,232.5,0.0,,,No,No,Boho
289,15.7,19.63,20.0,4.9525,1140.0,No,No,Boho
290,23.56,29.44,20.0,4.9091,396.0,No,No,Boho
291,13.99,19.99,30.0,4.9948,239.0,No,No,Boho
292,17.0,17.0,0.0,4.9043,798.0,Yes,No,Boho
293,25.9,25.9,0.0,5.0,25.0,Yes,No,Boho
294,15.0,15.0,0.0,5.0,71.0,No,No,Boho
295,5.39,8.99,40.0,4.8951,1197.0,No,No,Boho
296,5.0,5.0,0.0,4.9506,1943.0,Yes,No,Boho
297,10.2,17.0,40.0,4.9576,7188.0,No,No,Boho
298,12.0,12.0,0.0,5.0,11.0,Yes,No,Boho
299,0.7,1.0,30.0,4.9572,13901.0,Yes,No,Boho
300,27.78,27.78,0.0,5.0,14.0,No,No,Boho
301,5.63,9.38,40.0,4.7222,21.0,No,No,Boho
302,10.44,11.6,10.0,4.9441,348.0,No,No,Boho
303,11.4,11.4,0.0,5.0,414.0,No,No,Boho
304,15.0,15.0,0.0,4.4444,49.0,No,No,Boho
305,6.49,7.21,10.0,5.0,2.0,Yes,No,Boho
306,2.16,2.16,0.0,5.0,11.0,No,No,Boho
307,6.4,8.0,20.0,5.0,54.0,No,No,Boho
308,10.5,14.0,25.0,4.9764,261.0,No,No,Boho
309,4.95,4.95,0.0,4.7586,1766.0,Yes,No,Boho
310,8.65,8.65,0.0,4.9302,345.0,No,No,Boho
311,19.52,19.52,0.0,4.9623,185.0,Yes,No,Boho
312,13.8,23.0,40.0,4.9571,942.0,No,No,Boho
313,11.99,19.99,40.0,4.9779,3295.0,No,No,Boho
314,12.02,17.18,30.0,4.9273,154.0,No,No,Boho
315,6.79,9.05,25.0,4.7333,15.0,No,No,Boho
316,2.16,2.16,0.0,5.0,87.0,No,No,Boho
317,16.11,23.02,30.0,4.9714,2081.0,No,No,Boho
318,10.45,10.45,0.0,4.9452,145.0,No,No,Boho
319,165.62,165.62,0.0,5.0,28.0,Yes,No,Boho
320,5.0,5.0,0.0,4.9657,1286.0,Yes,No,Boho
321,5.25,5.25,0.0,4.7719,293.0,Yes,No,Boho
322,7.96,9.95,20.0,4.9574,195.0,No,No,Boho
323,65.0,65.0,0.0,4.917,769.0,No,No,Boho
324,14.99,14.99,0.0,4.9268,4163.0,No,No,Boho
325,6.29,7.4,15.0,5.0,3.0,No,No,Boho
326,5.59,7.99,30.0,4.8828,1719.0,No,No,Boho
327,4.0,4.0,0.0,4.9563,207.0,Yes,No,Boho
328,14.19,28.39,50.0,4.8588,86.0,No,No,Boho
329,9.77,19.55,50.0,4.918,62.0,No,No,Boho
330,232.5,232.5,0.0,,,No,No,Boho
331,3.4,3.4,0.0,5.0,93.0,Yes,No,Boho
332,23.56,29.44,20.0,4.9091,396.0,No,No,Boho
333,6.99,9.99,30.0,4.9948,239.0,No,No,Boho
334,9.59,15.99,40.0,4.8951,1197.0,No,No,Boho
335,22.0,22.0,0.0,4.9612,1619.0,No,No,Boho
336,2.5,2.5,0.0,4.9506,1943.0,Yes,No,Boho
337,12.02,17.18,30.0,4.9273,154.0,No,No,Boho
338,3.6,6.0,40.0,4.9576,7188.0,No,No,Boho
339,18.0,18.0,0.0,5.0,171.0,Yes,No,Boho
340,7.75,7.75,0.0,5.0,54.0,No,No,Boho
341,9.81,12.27,20.0,4.9525,1140.0,No,No,Boho
342,12.0,12.0,0.0,4.9744,128.0,No,No,Boho
343,21.5,21.5,0.0,4.8571,132.0,No,No,Boho
344,8.0,8.0,0.0,,,No,No,Boho
345,1.85,2.06,10.0,4.7368,81.0,No,No,Boho
346,11.2,14.0,20.0,5.0,1.0,No,No,Boho
347,11.99,19.99,40.0,4.9779,3295.0,No,No,Boho
348,10.94,10.94,0.0,,,No,No,Boho
349,6.13,6.13,0.0,5.0,26.0,No,No,Boho
350,2.87,2.87,0.0,4.9847,1617.0,No,No,Boho
351,9.6,16.0,40.0,4.7891,338.0,No,No,Boho
352,10.35,13.8,25.0,4.7333,15.0,No,No,Boho
353,21.3,21.3,0.0,4.9375,16.0,No,No,Boho
354,1.95,1.95,0.0,4.8826,446.0,No,No,Boho
355,5.9,8.43,30.0,5.0,19.0,No,No,Boho
356,11.19,12.44,10.0,4.9441,348.0,No,No,Boho
357,19.83,19.83,0.0,,,Yes,No,Boho
358,59.0,59.0,0.0,4.9754,1919.0,Yes,No,Boho
359,6.11,7.19,15.0,4.9438,8032.0,No,No,Boho
360,11.53,11.53,0.0,5.0,46.0,Yes,No,Boho
361,5.0,5.0,0.0,,,No,No,Boho
362,24.99,24.99,0.0,5.0,16.0,No,No,Boho
363,25.9,25.9,0.0,5.0,25.0,Yes,No,Boho
364,11.16,15.95,30.0,4.9178,583.0,No,No,Boho
365,42.83,42.83,0.0,5.0,53.0,No,No,Boho
366,0.2,0.2,0.0,,,Yes,No,Boho
367,6.99,9.99,30.0,4.921,1334.0,No,No,Boho
368,15.0,15.0,0.0,5.0,71.0,No,No,Boho
369,5.5,5.5,0.0,4.8937,1241.0,No,No,Boho
370,14.99,14.99,0.0,4.9268,4163.0,No,No,Boho
371,8.39,11.99,30.0,4.8828,1719.0,No,No,Boho
372,14.19,28.39,50.0,4.8588,86.0,No,No,Boho
373,232.5,232.5,0.0,,,No,No,Boho
374,50.0,50.0,0.0,4.9612,1619.0,No,No,Boho
375,2.7,3.0,10.0,5.0,93.0,Yes,No,Boho
376,13.99,19.99,30.0,4.9948,239.0,No,No,Boho
377,10.2,17.0,40.0,4.9576,7188.0,No,No,Boho
378,12.02,17.18,30.0,4.9273,154.0,No,No,Boho
379,26.5,33.12,20.0,4.9525,1140.0,No,No,Boho
380,1.85,2.06,10.0,4.7368,81.0,No,No,Boho
381,3.07,3.07,0.0,4.8571,14.0,Yes,No,Boho
382,5.99,9.99,40.0,4.9779,3295.0,No,No,Boho
383,140.0,140.0,0.0,4.9892,1122.0,Yes,No,Boho
384,57.65,57.65,0.0,5.0,4.0,Yes,No,Boho
385,122.68,122.68,0.0,5.0,28.0,Yes,No,Boho
386,15.0,15.0,0.0,5.0,634.0,Yes,No,Boho
387,10.5,14.0,25.0,4.9795,3889.0,Yes,No,Boho
388,0.98,0.98,0.0,5.0,1.0,No,No,Boho
389,5.0,5.0,0.0,4.9855,1024.0,Yes,No,Boho
390,15.0,15.0,0.0,5.0,71.0,No,No,Boho
391,12.0,12.0,0.0,5.0,11.0,Yes,No,Boho
392,8.65,14.41,40.0,5.0,2.0,No,No,Boho
393,7.96,9.95,20.0,4.9574,195.0,No,No,Boho
394,15.0,15.0,0.0,4.6429,163.0,Yes,No,Boho
395,0.85,0.85,0.0,4.9935,746.0,No,No,Boho
396,5.99,9.99,40.0,4.9298,1220.0,No,No,Boho
397,150.0,150.0,0.0,5.0,56.0,No,No,Boho
398,18.01,18.01,0.0,4.8228,117.0,No,No,Boho
399,10.5,10.5,0.0,4.9612,103.0,No,No,Boho
400,5.39,8.99,40.0,4.8951,1197.0,No,No,Boho
401,3.41,3.41,0.0,4.9714,604.0,No,No,Boho
402,1.85,1.85,0.0,4.96,42.0,No,No,Boho
403,13.5,15.0,10.0,5.0,19.0,No,No,Boho
404,2.5,2.5,0.0,4.9706,138.0,Yes,No,Boho
405,7.97,7.97,0.0,4.8571,37.0,No,No,Boho
406,13.8,23.0,40.0,4.9571,942.0,No,No,Boho
407,9.5,9.5,0.0,5.0,471.0,No,No,Boho
408,5.25,5.25,0.0,4.9054,85.0,Yes,No,Boho
409,31.75,31.75,0.0,5.0,95.0,No,No,Boho
410,4.95,4.95,0.0,4.9231,13.0,Yes,No,Boho
411,36.81,36.81,0.0,4.9542,376.0,No,No,Boho
412,16.99,16.99,0.0,4.8979,4462.0,No,No,Boho
413,19.52,19.52,0.0,4.9623,185.0,Yes,No,Boho
414,12.0,12.0,0.0,4.9744,128.0,No,No,Boho
415,9.99,9.99,0.0,4.9268,4163.0,No,No,Boho
416,5.59,7.99,30.0,4.8828,1719.0,No,No,Boho
417,15.49,30.99,50.0,4.8588,86.0,No,No,Boho
418,7.19,11.99,40.0,4.9576,7188.0,No,No,Boho
419,6.99,9.99,30.0,4.9948,239.0,No,No,Boho
420,22.0,22.0,0.0,4.9612,1619.0,No,No,Boho
421,29.35,36.68,20.0,4.9525,1140.0,No,No,Boho
422,15.0,15.0,0.0,5.0,71.0,No,No,Boho
423,3.07,3.07,0.0,4.8571,14.0,Yes,No,Boho
424,1.02,1.02,0.0,5.0,1.0,No,No,Boho
425,2.91,2.91,0.0,4.9714,604.0,No,No,Boho
426,20.0,20.0,0.0,4.9286,1101.0,Yes,No,Boho
427,10.0,10.0,0.0,5.0,1970.0,Yes,No,Boho
428,20.0,20.0,0.0,4.917,769.0,No,No,Boho
429,7.0,7.0,0.0,4.8333,357.0,Yes,No,Boho
430,5.99,9.99,40.0,4.9779,3295.0,No,No,Boho
431,8.0,8.0,0.0,5.0,123.0,No,No,Boho
432,19.85,39.7,50.0,5.0,21.0,Yes,No,Boho
433,13.8,23.0,40.0,4.9571,942.0,No,No,Boho
434,1.51,1.51,0.0,4.9487,193.0,No,No,Boho
435,5.99,9.99,40.0,4.9298,1220.0,No,No,Boho
436,10.81,10.81,0.0,4.8636,170.0,No,No,Boho
437,10.5,14.0,25.0,4.9795,3889.0,Yes,No,Boho
438,5.0,5.0,0.0,4.9722,1954.0,Yes,No,Boho
439,4.95,4.95,0.0,4.9231,13.0,Yes,No,Boho
440,5.0,5.0,0.0,4.9,21.0,Yes,No,Boho
441,8.74,10.28,15.0,4.9492,1095.0,No,No,Boho
