,Price,Original_Price,Off(%),Rating,Reviews,Free_shipping,Best_seller,Season
134,10.0,10.0,0.0,5.0,48.0,Yes,No,Spring
135,5.0,5.0,0.0,5.0,177.0,Yes,No,Spring
136,6.5,6.5,0.0,5.0,1.0,No,No,Spring
137,5.8,5.8,0.0,4.9506,1943.0,Yes,No,Spring
138,9.99,9.99,0.0,5.0,4097.0,No,No,Spring
139,3.99,7.98,50.0,4.8277,741.0,No,No,Spring
140,27.78,27.78,0.0,4.9553,1223.0,No,No,Spring
141,15.0,15.0,0.0,5.0,52.0,Yes,No,Spring
142,3.99,3.99,0.0,,,No,No,Spring
143,232.5,232.5,0.0,,,No,No,Spring
144,8.0,8.0,0.0,4.3333,3.0,No,No,Spring
145,5.59,7.99,30.0,4.8828,1719.0,No,No,Spring
146,1.2,2.0,40.0,4.8333,12.0,Yes,No,Spring
147,6.99,9.99,30.0,4.921,1334.0,No,No,Spring
148,4.4,8.8,50.0,4.8783,5772.0,No,No,Spring
149,5.15,5.15,0.0,,,Yes,No,Spring
150,2.1,2.1,0.0,5.0,13.0,Yes,No,Spring
151,26.0,26.0,0.0,4.9755,1920.0,Yes,No,Spring
152,18.0,18.0,0.0,4.913,265.0,No,No,Spring
153,7.96,9.95,20.0,4.9574,195.0,No,No,Spring
154,19.85,39.7,50.0,5.0,21.0,Yes,No,Spring
155,15.99,19.99,20.0,4.8196,10098.0,Yes,No,Spring
156,0.2,0.2,0.0,4.9841,317.0,Yes,No,Spring
157,22.0,22.0,0.0,4.9612,1619.0,No,No,Spring
158,0.7,1.0,30.0,4.9572,13903.0,Yes,No,Spring
159,10.0,10.0,0.0,5.0,48.0,Yes,No,Spring
160,232.5,232.5,0.0,,,No,No,Spring
161,18.0,18.0,0.0,5.0,52.0,Yes,No,Spring
162,25.9,25.9,0.0,5.0,25.0,Yes,No,Spring
163,3.99,3.99,0.0,,,No,No,Spring
164,1.04,1.04,0.0,5.0,14.0,Yes,No,Spring
165,235.0,235.0,0.0,5.0,177.0,Yes,No,Spring
166,9.99,9.99,0.0,4.9944,498.0,No,No,Spring
167,100.0,100.0,0.0,4.5542,571.0,Yes,No,Spring
168,30.62,36.03,15.0,4.9438,8040.0,No,No,Spring
169,4.31,4.31,0.0,4.9847,1617.0,No,No,Spring
170,5.59,6.99,20.0,,,No,No,Spring
171,4.0,4.0,0.0,5.0,475.0,Yes,No,Spring
172,10.0,10.0,0.0,4.9709,164.0,Yes,No,Spring
173,58.15,58.15,0.0,5.0,33.0,No,No,Spring
174,6.0,6.0,0.0,4.8575,427.0,No,No,Spring
175,4.45,4.45,0.0,4.9375,55.0,Yes,No,Spring
176,18.4,18.4,0.0,4.5,247.0,No,No,Spring
177,6.99,9.99,30.0,4.9948,239.0,No,No,Spring
178,7.0,7.0,0.0,4.8816,1180.0,No,No,Spring
179,1.75,1.75,0.0,4.9571,6264.0,Yes,No,Spring
180,15.0,15.0,0.0,5.0,23.0,No,No,Spring
181,50.0,50.0,0.0,,,No,No,Spring
182,4.95,4.95,0.0,4.7586,1766.0,Yes,No,Spring
183,6.4,8.0,20.0,5.0,54.0,No,No,Spring
184,14.99,14.99,0.0,4.9478,4446.0,No,No,Spring
185,10.0,10.0,0.0,4.9806,5811.0,No,No,Spring
186,7.99,7.99,0.0,4.9293,3633.0,No,No,Spring
187,0.63,0.63,0.0,,,No,No,Spring
188,14.99,14.99,0.0,5.0,12.0,Yes,No,Spring
189,1.0,1.0,0.0,4.9722,424.0,Yes,No,Spring
190,5.59,7.99,30.0,4.8828,1719.0,No,No,Spring
191,1.8,3.0,40.0,4.8333,12.0,Yes,No,Spring
192,5.5,5.5,0.0,,,Yes,No,Spring
193,6.99,9.99,30.0,4.921,1334.0,No,No,Spring
194,2.1,2.1,0.0,5.0,13.0,Yes,No,Spring
195,4.4,8.8,50.0,4.8783,5772.0,No,No,Spring
196,26.0,26.0,0.0,4.9755,1920.0,Yes,No,Spring
197,19.85,39.7,50.0,5.0,21.0,Yes,No,Spring
198,15.96,19.95,20.0,4.9574,195.0,No,No,Spring
199,15.99,19.99,20.0,4.8196,10098.0,Yes,No,Spring
200,10.0,10.0,0.0,5.0,48.0,Yes,No,Spring
201,22.0,22.0,0.0,4.9612,1619.0,No,No,Spring
202,18.0,18.0,0.0,5.0,52.0,Yes,No,Spring
203,0.7,1.0,30.0,4.9572,13903.0,Yes,No,Spring
204,30.62,36.03,15.0,4.9438,8040.0,No,No,Spring
205,232.5,232.5,0.0,,,No,No,Spring
206,11.11,11.11,0.0,4.8905,1254.0,No,No,Spring
207,10.0,10.0,0.0,4.9806,5811.0,No,No,Spring
208,0.78,0.86,9.0,4.9733,2449.0,No,No,Spring
209,10.0,10.0,0.0,4.92,548.0,No,No,Spring
210,5.0,5.0,0.0,4.8333,212.0,No,No,Spring
211,7.0,7.0,0.0,,,No,No,Spring
212,1.7,1.7,0.0,4.9355,106.0,No,No,Spring
213,7.59,8.93,15.0,,,No,No,Spring
214,22.5,30.0,25.0,5.0,2.0,No,No,Spring
215,3.0,3.0,0.0,4.973,1803.0,Yes,No,Spring
216,10.8,13.5,20.0,4.9091,396.0,No,No,Spring
217,9.0,10.0,10.0,4.9423,435.0,No,No,Spring
218,7.19,11.99,40.0,4.9577,7189.0,No,No,Spring
219,14.0,14.0,0.0,5.0,235.0,No,No,Spring
220,277.0,277.0,0.0,5.0,575.0,Yes,No,Spring
221,3.0,3.0,0.0,4.9688,68.0,No,No,Spring
222,15.0,15.0,0.0,4.8889,252.0,Yes,No,Spring
223,10.0,10.0,0.0,5.0,19.0,No,No,Spring
224,25.9,25.9,0.0,5.0,25.0,Yes,No,Spring
225,7.99,7.99,0.0,5.0,4.0,No,No,Spring
226,7.0,7.0,0.0,4.9417,2281.0,No,No,Spring
227,13.0,13.0,0.0,5.0,27.0,Yes,No,Spring
228,9.0,15.0,40.0,4.9571,942.0,No,No,Spring
229,5.95,7.0,15.0,4.9107,83.0,No,No,Spring
230,7.5,7.5,0.0,5.0,2.0,No,No,Spring
231,18.0,18.0,0.0,5.0,2474.0,Yes,No,Spring
232,0.71,0.71,0.0,,,No,No,Spring
233,12.8,12.8,0.0,5.0,204.0,Yes,No,Spring
234,3.89,6.49,40.0,4.966,2095.0,No,No,Spring
235,5.59,7.99,30.0,4.8828,1719.0,No,No,Spring
236,1.2,2.0,40.0,4.8333,12.0,Yes,No,Spring
237,5.5,5.5,0.0,,,Yes,No,Spring
238,4.4,8.8,50.0,4.8783,5772.0,No,No,Spring
239,6.29,8.99,30.0,4.921,1334.0,No,No,Spring
240,26.0,26.0,0.0,4.9755,1920.0,Yes,No,Spring
241,19.85,39.7,50.0,5.0,21.0,Yes,No,Spring
242,10.0,10.0,0.0,5.0,48.0,Yes,No,Spring
243,2.1,2.1,0.0,5.0,13.0,Yes,No,Spring
244,11.0,11.0,0.0,4.9612,1619.0,No,No,Spring
245,0.7,1.0,30.0,4.9572,13903.0,Yes,No,Spring
246,7.96,9.95,20.0,4.9574,195.0,No,No,Spring
247,10.0,10.0,0.0,4.9806,5811.0,No,No,Spring
248,5.95,5.95,0.0,4.8905,1254.0,No,No,Spring
249,4.75,4.75,0.0,4.9355,106.0,No,No,Spring
250,10.0,10.0,0.0,5.0,575.0,Yes,No,Spring
251,12.0,12.0,0.0,4.8333,212.0,No,No,Spring
252,0.63,0.63,0.0,,,No,No,Spring
253,8.99,8.99,0.0,5.0,4.0,No,No,Spring
254,61.11,61.11,0.0,4.988,1059.0,Yes,No,Spring
255,7.21,7.21,0.0,,,No,No,Spring
256,232.5,232.5,0.0,,,No,No,Spring
257,7.99,7.99,0.0,4.95,48.0,Yes,No,Spring
258,9.99,9.99,0.0,4.9293,3633.0,No,No,Spring
259,5.42,7.75,30.0,4.9103,3565.0,No,No,Spring
260,1.5,1.5,0.0,,,Yes,No,Spring
261,3.99,3.99,0.0,,,No,No,Spring
262,4.0,4.0,0.0,4.9658,1287.0,Yes,No,Spring
263,12.8,12.8,0.0,5.0,204.0,Yes,No,Spring
264,12.0,12.0,0.0,4.9709,164.0,Yes,No,Spring
265,9.99,9.99,0.0,4.9897,1147.0,No,No,Spring
266,4.49,8.98,50.0,4.8277,741.0,No,No,Spring
267,2.45,2.45,0.0,5.0,64.0,No,No,Spring
268,16.99,16.99,0.0,5.0,1.0,No,No,Spring
269,1.51,1.51,0.0,4.9487,193.0,No,No,Spring
270,14.99,14.99,0.0,5.0,190.0,No,No,Spring
271,10.5,14.0,25.0,4.9795,3889.0,Yes,No,Spring
272,10.0,10.0,0.0,4.9644,5463.0,Yes,No,Spring
273,2.21,2.45,10.0,4.7993,1804.0,No,No,Spring
274,218.75,218.75,0.0,4.9529,1333.0,Yes,No,Spring
275,10.07,10.07,0.0,5.0,20.0,No,No,Spring
276,3.9,12.99,70.0,4.9192,2261.0,No,No,Spring
277,11.2,11.2,0.0,4.3125,48.0,No,No,Spring
278,25.9,25.9,0.0,5.0,25.0,Yes,No,Spring
279,23.26,29.07,20.0,5.0,14.0,Yes,No,Spring
280,5.59,7.99,30.0,4.8828,1719.0,No,No,Spring
281,1.8,3.0,40.0,4.8333,12.0,Yes,No,Spring
282,1.5,1.5,0.0,,,Yes,No,Spring
283,4.0,8.0,50.0,4.8783,5772.0,No,No,Spring
284,26.0,26.0,0.0,4.9755,1920.0,Yes,No,Spring
285,6.99,9.99,30.0,4.921,1334.0,No,No,Spring
286,19.85,39.7,50.0,5.0,21.0,Yes,No,Spring
287,0.7,1.0,30.0,4.9572,13903.0,Yes,No,Spring
288,8.73,8.73,0.0,4.8905,1254.0,No,No,Spring
289,50.0,50.0,0.0,4.9612,1619.0,No,No,Spring
290,10.0,10.0,0.0,5.0,575.0,Yes,No,Spring
291,7.96,9.95,20.0,4.9574,195.0,No,No,Spring
292,12.0,12.0,0.0,4.9293,3633.0,No,No,Spring
293,2.99,2.99,0.0,5.0,1.0,No,No,Spring
294,11.2,11.2,0.0,4.3125,48.0,No,No,Spring
295,10.07,10.07,0.0,5.0,20.0,No,No,Spring
296,29.75,29.75,0.0,4.9429,49.0,Yes,No,Spring
297,61.11,61.11,0.0,4.988,1059.0,Yes,No,Spring
298,9.6,12.0,20.0,4.8333,276.0,No,No,Spring
299,15.99,15.99,0.0,,,Yes,No,Spring
300,25.0,25.0,0.0,4.9846,1968.0,Yes,No,Spring
301,36.0,36.0,0.0,5.0,3.0,Yes,No,Spring
302,2.99,3.74,20.0,4.9524,3281.0,Yes,No,Spring
303,3.0,3.0,0.0,,,No,No,Spring
304,3.23,3.23,0.0,5.0,6.0,No,No,Spring
305,7.0,7.0,0.0,5.0,1.0,No,No,Spring
306,6.6,6.6,0.0,,,No,No,Spring
307,14.25,14.25,0.0,4.6364,20.0,No,No,Spring
308,5.6,7.0,20.0,,,No,No,Spring
309,12.9,12.9,0.0,5.0,25.0,No,No,Spring
310,5.22,8.7,40.0,4.8917,4650.0,No,No,Spring
311,8.99,8.99,0.0,4.9694,5604.0,No,No,Spring
312,4.0,4.0,0.0,5.0,475.0,Yes,No,Spring
313,4.8,8.0,40.0,4.9119,3622.0,No,No,Spring
314,11.9,11.9,0.0,4.8691,1884.0,No,No,Spring
315,6.5,6.5,0.0,4.4667,203.0,No,No,Spring
316,7.02,7.02,0.0,,,No,No,Spring
317,4.32,4.32,0.0,5.0,25.0,No,No,Spring
318,9.0,10.0,10.0,4.9423,435.0,No,No,Spring
319,2.23,2.23,0.0,5.0,87.0,No,No,Spring
320,20.0,20.0,0.0,5.0,8.0,No,No,Spring
321,9.95,9.95,0.0,4.98,109.0,Yes,No,Spring
322,15.0,15.0,0.0,5.0,43.0,No,No,Spring
323,8.4,8.4,0.0,4.963,165.0,No,No,Spring
324,262.5,262.5,0.0,4.9895,2254.0,No,No,Spring
325,5.59,7.99,30.0,4.8828,1719.0,No,No,Spring
326,1.8,3.0,40.0,4.8333,12.0,Yes,No,Spring
327,5.2,5.2,0.0,,,Yes,No,Spring
328,6.99,9.99,30.0,4.921,1334.0,No,No,Spring
329,4.4,8.8,50.0,4.8783,5772.0,No,No,Spring
330,26.0,26.0,0.0,4.9755,1920.0,Yes,No,Spring
331,19.85,39.7,50.0,5.0,21.0,Yes,No,Spring
332,0.7,1.0,30.0,4.9572,13903.0,Yes,No,Spring
333,10.0,10.0,0.0,5.0,575.0,Yes,No,Spring
334,50.0,50.0,0.0,4.9612,1619.0,No,No,Spring
335,9.99,9.99,0.0,4.9293,3633.0,No,No,Spring
336,11.2,11.2,0.0,4.3125,48.0,No,No,Spring
337,25.0,25.0,0.0,4.9846,1968.0,Yes,No,Spring
338,15.87,15.87,0.0,4.8905,1254.0,No,No,Spring
339,15.99,15.99,0.0,,,Yes,No,Spring
340,61.11,61.11,0.0,4.988,1059.0,Yes,No,Spring
341,2.99,3.74,20.0,4.9524,3281.0,Yes,No,Spring
342,7.96,9.95,20.0,4.9574,195.0,No,No,Spring
343,6.2,6.2,0.0,4.4667,203.0,No,No,Spring
344,4.32,4.32,0.0,5.0,25.0,No,No,Spring
345,1.89,2.1,10.0,4.891,1776.0,No,No,Spring
346,8.4,8.4,0.0,4.963,165.0,No,No,Spring
347,6.5,6.5,0.0,5.0,1.0,No,No,Spring
348,6.11,7.19,15.0,4.9438,8040.0,No,No,Spring
349,10.0,10.0,0.0,5.0,1.0,Yes,No,Spring
350,6.0,6.0,0.0,4.8816,1180.0,No,No,Spring
351,7.28,12.13,40.0,4.9510000000000005,5698.0,No,No,Spring
352,5.55,5.55,0.0,4.918,62.0,No,No,Spring
353,15.41,19.26,20.0,,,No,No,Spring
354,12.0,12.0,0.0,4.9504,1620.0,Yes,No,Spring
355,14.23,14.23,0.0,5.0,6.0,No,No,Spring
356,13.0,13.0,0.0,5.0,27.0,Yes,No,Spring
357,6.0,6.0,0.0,4.8575,427.0,No,No,Spring
358,5.0,5.0,0.0,5.0,177.0,Yes,No,Spring
359,2.5,2.5,0.0,4.619,55.0,Yes,No,Spring
360,5.6,7.0,20.0,,,No,No,Spring
361,4.0,4.0,0.0,1.0,1.0,No,No,Spring
362,19.0,19.0,0.0,4.913,265.0,Yes,No,Spring
363,4.99,4.99,0.0,4.9631,544.0,Yes,No,Spring
364,1.0,1.0,0.0,4.619,21.0,No,No,Spring
365,8.0,8.0,0.0,4.3333,4.0,No,No,Spring
366,12.0,12.0,0.0,4.8333,212.0,No,No,Spring
367,21.62,21.62,0.0,5.0,57.0,Yes,No,Spring
368,6.95,6.95,0.0,4.7586,1766.0,Yes,No,Spring
369,5.6,8.0,30.0,4.8828,1719.0,No,No,Spring
370,8.51,8.51,0.0,4.913,473.0,No,No,Spring
371,4.75,4.75,0.0,,,Yes,No,Spring
372,3.0,3.0,0.0,4.8333,12.0,Yes,No,Spring
373,6.99,9.99,30.0,4.921,1334.0,No,No,Spring
374,4.4,8.8,50.0,4.8783,5772.0,No,No,Spring
375,19.85,39.7,50.0,5.0,21.0,Yes,No,Spring
376,18.0,18.0,0.0,4.9755,1920.0,Yes,No,Spring
377,10.0,10.0,0.0,5.0,575.0,Yes,No,Spring
378,11.2,11.2,0.0,4.3125,48.0,No,No,Spring
379,122.22,122.22,0.0,4.988,1059.0,Yes,No,Spring
380,50.0,50.0,0.0,4.9612,1619.0,No,No,Spring
381,2.99,3.74,20.0,4.9524,3281.0,Yes,No,Spring
382,6.99,6.99,0.0,4.9293,3633.0,No,No,Spring
383,15.99,15.99,0.0,,,Yes,No,Spring
384,8.4,8.4,0.0,4.963,165.0,No,No,Spring
385,1.89,2.1,10.0,4.891,1776.0,No,No,Spring
386,10.0,10.0,0.0,5.0,1.0,Yes,No,Spring
387,5.55,5.55,0.0,4.918,62.0,No,No,Spring
388,3.81,4.76,20.0,,,No,No,Spring
389,14.23,14.23,0.0,5.0,6.0,No,No,Spring
390,11.9,11.9,0.0,4.8905,1254.0,No,No,Spring
391,10.39,12.99,20.0,4.9574,195.0,No,No,Spring
392,8.0,8.0,0.0,4.3333,4.0,No,No,Spring
393,21.62,21.62,0.0,5.0,57.0,Yes,No,Spring
394,4.32,4.32,0.0,5.0,5.0,No,No,Spring
395,14.95,14.95,0.0,4.9444,756.0,Yes,No,Spring
396,4.0,4.0,0.0,4.3333,3.0,No,No,Spring
397,8.99,8.99,0.0,5.0,132.0,No,No,Spring
398,14.87,14.87,0.0,4.8,20.0,Yes,No,Spring
399,4.76,4.76,0.0,,,No,No,Spring
400,4.0,4.0,0.0,5.0,475.0,Yes,No,Spring
401,15.0,15.0,0.0,,,Yes,No,Spring
402,0.36,0.36,0.0,4.9364,303.0,Yes,No,Spring
403,10.0,10.0,0.0,5.0,19.0,No,No,Spring
404,5.59,6.99,20.0,,,No,No,Spring
405,10.0,10.0,0.0,5.0,40.0,Yes,No,Spring
406,12.24,12.24,0.0,4.8355,228.0,Yes,No,Spring
407,10.0,20.0,50.0,4.85,1453.0,No,No,Spring
408,12.95,12.95,0.0,5.0,17.0,No,No,Spring
409,8.0,8.0,0.0,5.0,20.0,Yes,No,Spring
410,3.36,3.73,10.0,4.7993,1804.0,No,No,Spring
411,10.81,10.81,0.0,4.8636,170.0,No,No,Spring
412,15.0,15.0,0.0,4.971,512.0,Yes,No,Spring
413,19.02,19.02,0.0,,,No,No,Spring
414,1.8,3.0,40.0,4.8333,12.0,Yes,No,Spring
415,4.8,4.8,0.0,4.9506,1943.0,Yes,No,Spring
416,5.59,7.99,30.0,4.8828,1719.0,No,No,Spring
417,5.15,5.15,0.0,,,Yes,No,Spring
418,4.4,8.8,50.0,4.8783,5772.0,No,No,Spring
419,6.99,9.99,30.0,4.921,1334.0,No,No,Spring
420,18.0,18.0,0.0,4.9755,1920.0,Yes,No,Spring
421,19.85,39.7,50.0,5.0,21.0,Yes,No,Spring
422,8.4,8.4,0.0,4.963,165.0,No,No,Spring
423,61.11,61.11,0.0,4.988,1059.0,Yes,No,Spring
424,10.0,10.0,0.0,5.0,1.0,Yes,No,Spring
425,11.0,11.0,0.0,4.9612,1619.0,No,No,Spring
426,7.92,9.9,20.0,,,No,No,Spring
427,14.41,14.41,0.0,5.0,57.0,Yes,No,Spring
428,7.96,9.95,20.0,4.9574,195.0,No,No,Spring
429,4.76,4.76,0.0,,,No,No,Spring
430,8.99,8.99,0.0,5.0,132.0,No,No,Spring
431,5.59,6.99,20.0,,,No,No,Spring
432,5.95,5.95,0.0,4.923,6301.0,No,No,Spring
433,14.99,14.99,0.0,4.9672,1446.0,No,No,Spring
434,6.79,6.79,0.0,,,No,No,Spring
435,6.79,9.05,25.0,4.7333,15.0,No,No,Spring
436,12.8,12.8,0.0,5.0,204.0,Yes,No,Spring
437,9.0,9.0,0.0,5.0,1422.0,No,No,Spring
438,14.99,14.99,0.0,4.9478,4446.0,No,No,Spring
439,25.9,25.9,0.0,5.0,25.0,Yes,No,Spring
440,19.5,19.5,0.0,5.0,8.0,Yes,No,Spring
441,25.0,25.0,0.0,4.6364,76.0,Yes,No,Spring
442,8.5,8.5,0.0,5.0,14.0,No,No,Spring
443,5.67,5.67,0.0,4.8,20.0,Yes,No,Spring
444,16.6,18.45,10.0,4.9481,3237.0,Yes,No,Spring
445,0.7,1.0,30.0,4.9572,13903.0,Yes,No,Spring
446,5.0,5.0,0.0,5.0,177.0,Yes,No,Spring
